db1.tbl3_batch.col1,db1.tbl3_batch.col2,db1.tbl3_batch.col3,db1.tbl3_batch.col4
232,1458,996,6324
790,1308,1997,8770
29,1070,1008,9119
366,957,1011,5952
825,911,217,7901
606,340,550,8546
819,1277,1757,3041
55,1785,521,9504
9,1123,801,7988
914,1929,761,2428
146,1631,768,8754
363,515,1039,3246
598,1782,257,4424
252,159,1498,4591
698,1931,689,1372
939,1568,1952,7228
744,1450,1636,846
252,1600,1440,4245
442,1066,1579,4150
735,11,1630,2230
339,1276,498,3731
515,726,848,8052
352,604,1945,3137
623,1021,417,6442
704,1926,1219,4363
652,1649,1516,5532
322,1399,1443,5910
139,1020,760,4941
860,1892,456,5751
950,738,1712,4475
444,977,1008,3961
94,662,1213,4871
552,1803,1392,4741
419,278,216,7352
513,1821,1296,6650
789,595,1903,7043
149,396,698,2062
552,1635,395,7887
350,1938,75,1500
115,1819,717,4252
631,1587,850,4767
236,143,884,7965
269,395,1048,1779
860,1492,1507,4775
290,1167,568,6615
433,1716,1065,3685
8,397,1246,8943
750,1186,1238,4688
629,1866,657,3140
863,1032,1097,1936
826,912,1276,3018
823,1197,1676,9030
474,1416,945,7857
521,1217,1540,5692
536,1445,338,8834
684,1388,1856,4998
736,1680,510,7216
10,1324,1155,2867
612,1275,1438,4961
776,875,1205,2204
902,713,1881,7625
326,1149,1474,7105
929,753,1243,8785
594,1683,475,7894
275,894,1384,6920
369,386,1996,8039
489,504,1214,3410
344,1432,823,8510
772,1140,133,8016
367,684,671,1245
732,814,1172,9234
310,1236,202,9616
730,1699,1250,2051
600,1464,1425,4975
484,1328,1549,9642
14,1536,1396,8900
757,1282,655,5762
687,970,1035,9149
3,783,967,5639
845,1431,667,6065
375,1145,1371,9978
368,1671,697,3395
464,539,731,3588
532,739,1727,2285
719,958,1168,8905
985,1747,460,6084
136,924,908,4471
833,1276,389,4118
362,255,708,8914
974,449,9,9899
930,1265,1274,1781
215,1142,1015,1074
367,1088,145,1717
116,176,1802,5034
178,62,1240,5908
245,794,688,571
127,1633,104,2247
357,384,404,1350
77,475,708,5452
740,1893,770,2506
292,996,1588,9664
773,1481,82,2737
81,1101,456,6682
341,50,684,3122
337,1469,448,7356
818,1823,33,3723
577,1095,1574,8867
95,673,437,338
144,1914,1329,4181
576,1077,235,8514
520,1757,762,10212
396,623,766,5890
995,1230,1252,3704
356,577,74,8057
185,1445,1727,7980
669,805,1329,7757
542,797,1358,1589
150,446,1331,4528
318,1504,983,9825
753,541,758,10331
667,80,132,7211
58,137,183,6769
9,784,1531,7230
856,68,545,10785
123,1473,204,8736
355,42,1775,7347
345,110,760,8407
793,847,94,4594
236,1935,1543,5598
332,899,1719,5805
16,1887,1218,9619
423,671,1969,4993
323,1074,1426,2775
22,1489,603,2105
930,533,1428,10472
458,644,232,5621
459,1069,545,5292
520,1753,1836,7321
718,793,248,4058
556,213,238,4400
420,106,830,1059
964,336,1049,10730
402,7,624,8498
330,1715,718,8481
456,55,725,8833
482,27,77,5882
497,364,665,1815
26,1335,882,8745
396,1646,918,3655
952,1774,1531,4435
187,805,738,3206
139,1215,1654,4918
520,713,1062,10279
745,1254,85,9511
91,811,536,1415
76,1235,24,4480
851,66,232,10255
243,110,227,6180
844,33,622,2278
666,1392,747,9395
729,424,612,8283
958,1305,1343,5911
988,1975,314,10754
796,1764,1400,9180
661,661,276,10039
840,1526,623,9506
87,842,1469,4356
617,1630,1687,7995
914,758,898,3351
293,1063,228,4845
94,1246,5,1448
252,1755,74,3652
550,645,117,7746
398,503,946,4152
766,193,846,7031
53,1049,1458,211
927,1668,325,7668
242,835,1810,2079
109,531,112,4720
765,0,89,1790
623,1573,1828,8435
685,1534,1891,7931
700,1696,901,1358
220,260,1942,897
760,897,12,4806
563,1619,320,4384
161,328,784,2536
968,910,1943,1243
34,1629,1118,6893
965,317,1979,2553
36,333,1908,4617
845,1160,1953,1090
828,512,1319,9908
622,1595,1855,7292
369,1802,872,8561
176,1851,797,2360
520,1188,4,3771
274,77,1433,6137
982,600,1772,4033
632,401,295,10334
104,615,1549,3875
155,1660,421,9475
335,574,142,9224
25,144,1248,9305
933,1985,1997,3352
295,103,1970,7691
536,197,1669,3164
354,1202,1991,7663
885,1523,1038,1570
68,1312,477,2824
326,419,156,5349
150,1120,1020,10074
856,950,288,5691
576,597,1857,2548
661,1658,1865,1371
319,805,1932,8835
756,227,1900,5841
451,1719,14,6097
569,1284,1180,5462
667,843,1708,3261
111,94,626,1203
634,1315,793,3589
461,68,1683,8864
864,1865,871,10637
963,711,22,10598
361,301,362,4504
202,140,1639,8972
486,984,992,8130
479,827,682,3476
3,355,1007,5211
128,887,1828,10074
25,1129,1008,3004
800,1401,1928,4405
976,1052,1485,1397
26,1749,778,636
41,813,1636,8678
964,1645,419,10116
582,824,1024,712
63,566,370,2710
24,660,1454,6697
71,1160,201,3800
481,116,1689,4912
872,574,243,1896
899,74,1829,10743
267,1233,474,7306
825,1552,639,1362
94,875,762,4685
394,663,24,3477
868,709,1524,1375
363,176,284,4287
314,661,665,9186
116,1492,1072,2728
163,1107,1384,5039
876,1653,341,9827
789,1724,1383,5012
576,1792,1759,3723
305,214,434,2498
771,722,1341,8853
739,284,1328,3285
199,285,1167,5260
984,17,768,5639
731,1198,1009,1953
179,987,1136,7929
357,1701,946,5376
739,1920,1287,4313
995,1894,1666,6718
251,1481,1901,6797
298,86,54,3321
872,1201,1414,4152
429,832,312,9692
3,442,1790,543
652,760,1262,1162
677,1074,1632,6839
253,1287,1441,6955
940,1111,1101,1284
664,813,490,5843
578,1523,164,8661
566,909,734,6938
95,6,329,2575
166,150,1108,8756
832,1404,914,6651
330,699,81,7072
897,814,708,10383
964,745,1022,7864
887,470,1142,6525
853,260,804,6753
61,1757,904,5584
173,939,1890,4022
252,853,1387,2029
460,713,1181,9031
623,1750,127,4386
214,1905,1138,10067
238,520,551,3296
414,1304,1382,9912
738,1301,1258,3203
741,665,441,5192
744,609,1750,759
674,837,1169,5084
125,41,1379,2705
940,33,1040,6075
252,997,1401,8200
844,1652,1897,3436
949,1848,1310,5738
710,167,609,8970
196,820,454,8798
633,1424,921,7865
412,701,633,8505
455,129,1019,1373
775,1728,818,5610
53,1394,793,9735
646,1802,1319,3989
338,675,1136,2824
358,743,1250,7231
150,54,622,422
99,405,68,4653
233,1785,1571,1052
543,1490,1762,5835
61,1872,957,2676
940,481,200,7009
195,1524,72,5835
541,1040,1664,4525
754,938,1639,5644
105,1062,1826,7806
294,1252,107,5485
644,1501,101,3625
450,274,1636,3489
533,816,956,5468
155,1592,1846,757
405,11,1341,7864
895,338,1799,8314
725,1750,1508,10349
737,709,1223,9184
796,1112,1291,8488
682,1945,488,3169
553,46,1311,1911
571,710,400,1260
374,980,1109,8873
588,1805,334,6719
454,136,882,10342
201,1521,826,3367
731,593,1246,9331
451,934,994,1276
186,1513,614,1377
607,1182,1175,6254
853,187,1836,7638
723,804,1194,7536
367,182,982,10333
339,1550,1911,5980
261,1372,981,794
840,721,1184,7350
923,1449,1131,2130
588,310,738,9196
542,413,250,1779
550,1164,1297,5493
305,1762,1914,5070
845,28,957,5681
725,244,747,1184
637,1463,1771,9478
164,265,925,283
757,339,388,5525
620,2,1452,6600
87,1693,323,8596
199,292,1688,6680
270,948,1998,6568
50,816,1912,9109
488,1163,186,3714
197,938,1403,8782
22,1463,1342,2574
664,10,1085,6042
222,1176,1734,3450
941,1594,1607,1017
220,1598,1333,3630
662,1516,1389,1070
265,225,824,4357
72,752,505,2339
880,1797,1540,9815
76,1070,726,4604
543,1122,1043,6117
880,1596,1914,6653
434,689,849,4268
936,215,2,4933
64,780,1143,7371
960,328,579,10139
356,1633,1290,5973
935,1346,634,3636
17,1672,1218,3729
675,1355,169,4582
798,39,1560,9744
565,954,1249,1240
574,974,37,5501
768,1924,1199,6117
750,453,36,6918
435,972,795,10337
995,592,1137,4470
440,223,317,7256
8,697,1346,549
469,1889,39,633
631,1772,1312,7723
347,1170,335,1331
601,352,570,3262
371,1704,780,4839
969,1368,1716,1586
823,190,1690,9083
174,6,132,5813
514,825,760,4710
129,425,1417,129
565,1460,1693,8942
292,81,355,4730
695,588,1547,5503
926,1247,1548,4005
352,1136,1256,7071
223,1246,865,8550
523,855,364,6541
953,1349,466,1335
706,585,1256,1633
758,1854,1435,5817
508,1245,36,1068
367,1219,915,1556
665,1265,1347,1562
589,1040,523,2957
651,1929,885,10581
499,473,1143,5452
89,1293,703,7987
655,715,1699,5035
948,947,380,3346
71,28,906,6297
432,878,78,6175
688,458,569,10273
347,1453,737,2935
262,1122,396,6618
270,1294,886,3955
508,1098,883,9629
507,1710,973,4816
616,1482,1562,5015
419,1405,747,3645
71,988,20,1474
73,868,1978,8464
654,1682,1976,2939
502,1530,1280,9364
573,933,1550,2301
145,1186,1855,1394
45,791,1547,923
740,491,207,3263
104,1083,429,601
108,1628,1332,9277
316,1050,1709,8018
120,386,348,7698
498,692,1559,5377
42,898,915,580
939,1176,733,10031
98,1296,1917,1564
705,1763,520,8419
310,1016,955,2043
213,1013,500,703
462,1367,583,2171
740,1740,720,10685
422,273,1343,7133
995,1518,606,2913
388,10,1324,8554
696,101,1448,6721
111,213,1714,9789
910,400,587,7009
858,1695,1486,10550
271,1109,91,468
824,713,935,10550
995,1888,1,2708
101,1768,1996,9641
209,588,115,4992
738,1126,193,8840
792,89,1709,4636
21,993,105,616
759,1328,1895,9089
158,1986,634,1172
890,773,1096,1131
740,1439,552,3103
929,1287,1863,1661
342,1341,1107,476
399,250,382,4160
453,1107,207,3079
698,1337,21,7877
142,514,1150,1652
849,873,13,3645
869,1013,1035,7776
396,908,1560,4908
535,121,1170,4837
140,1379,684,1783
960,1654,308,5366
239,306,1835,3603
291,913,1746,7059
816,1375,311,10407
81,1666,923,9823
559,34,444,3970
864,1982,1230,946
869,1355,1840,6565
170,158,1977,9841
773,403,804,3213
976,1387,1405,6736
579,151,1585,2361
525,607,1640,9321
541,1140,865,6967
109,577,334,8015
211,1797,294,9133
775,1394,185,2135
437,1291,1666,2515
321,1575,20,1298
996,866,793,8789
899,751,477,2536
713,939,525,4013
83,374,292,4087
955,1004,552,1537
375,1851,380,9026
52,503,230,8379
866,1766,837,10035
495,1880,27,8970
255,1252,260,2653
585,459,1975,4697
219,918,1326,1457
654,1033,1730,4120
99,591,1993,5617
128,843,861,5491
917,132,1299,4083
218,971,512,997
476,885,1307,2610
782,1956,686,3018
457,304,1520,2096
979,1847,155,9590
21,1925,619,3710
689,1939,1905,5644
559,968,510,8957
628,281,796,8000
328,1058,197,3718
887,1082,836,8137
690,690,1229,7939
479,275,692,4275
784,1274,1834,3318
873,1329,1820,3053
338,1246,1207,4644
871,1201,918,5098
858,1875,150,10447
178,1836,307,1624
420,745,891,1371
481,1364,128,4502
48,668,1375,5533
826,1518,85,2543
905,1216,310,5147
766,426,1993,4571
29,1168,1561,5942
84,743,1904,7559
788,1863,344,5598
501,800,1024,2097
545,1999,1677,7139
328,1092,360,3544
609,1243,1985,9707
433,1989,574,6188
587,1704,1112,6870
686,584,1780,2023
852,488,970,3826
248,1404,1125,4721
851,1637,18,9403
133,1617,396,6959
689,850,1388,6356
364,1367,821,9128
739,724,1678,8752
574,710,142,3618
779,827,604,10555
424,304,735,5442
414,1963,101,2647
769,967,1645,6406
655,961,941,8122
511,84,1817,3757
384,1473,453,4425
387,1244,1177,2276
814,1156,303,8490
448,1323,1763,3103
563,943,342,4281
302,497,363,5837
98,1004,20,9346
972,1014,335,3101
305,1147,398,10003
556,714,50,2186
41,788,140,5101
990,1825,1357,1981
467,1007,372,5057
439,1562,1692,9824
326,290,1671,7192
568,1443,669,9462
999,1968,588,10221
32,1368,349,4953
411,1374,1131,8432
625,908,158,3106
811,311,1264,9565
113,297,951,6394
507,1475,1909,9065
55,1408,1195,6304
555,1385,558,1348
723,886,1941,5454
351,725,1243,1337
328,520,1806,9477
545,377,1656,4140
269,583,151,1123
195,1177,858,1764
412,49,663,2668
636,1083,1190,4739
78,145,914,4254
766,992,1462,8727
656,686,1584,5910
82,1249,672,8511
741,661,1455,8647
136,418,987,6137
538,1546,649,2270
688,1100,508,1502
718,920,769,7753
932,262,1620,2118
923,1577,1397,8504
305,1960,1776,2530
310,1303,699,9486
387,1603,1241,6810
724,287,1190,9713
865,35,743,6038
914,1699,1922,9649
548,1376,1914,6430
505,998,707,1024
387,827,1665,5428
292,427,1562,1746
178,775,1253,7048
671,66,1013,7884
428,57,1282,8187
879,1153,726,10129
523,613,1232,9827
680,1494,1821,4086
311,661,1835,1257
79,452,1868,4109
13,1326,1016,8340
53,617,445,845
446,54,911,1582
765,1423,1931,10319
64,514,1679,618
371,1302,347,7408
502,629,1540,3905
569,363,320,2823
95,148,1107,1461
532,977,455,1480
259,1184,1012,8554
584,1573,1523,8393
247,1677,1827,7454
126,113,748,9364
498,340,769,7917
45,448,1866,4071
981,1725,1430,6937
267,1489,310,7636
639,405,1962,7961
541,1339,1124,3155
93,11,1262,9248
735,677,593,4006
315,1181,1239,9344
611,133,1090,7995
70,947,1549,5748
592,1428,1698,1473
448,129,930,3636
909,1811,1791,4243
366,1985,792,2564
811,1312,163,9214
619,832,1133,10026
613,237,380,9685
409,482,1960,1163
90,1676,1140,5307
508,916,993,9400
876,1102,1603,1246
527,1035,1823,2259
109,91,1676,5368
774,1555,1681,1575
671,446,389,7070
764,42,253,9945
88,662,466,4859
606,1540,1490,7613
271,344,641,686
246,689,1276,3583
360,1486,456,5618
377,1928,1122,8404
205,1179,189,5262
344,262,1103,7311
829,608,1283,2449
797,1575,784,10524
759,1403,819,6741
454,419,123,8447
907,1713,1086,3699
66,1726,1597,8830
986,518,154,8372
557,1549,454,5450
978,1668,509,6074
42,1597,1754,4898
228,741,1614,3883
950,1494,1849,9434
812,900,64,5105
443,241,492,522
233,337,172,4541
198,464,994,2060
496,394,702,1114
847,1791,182,1806
31,509,1731,3766
263,623,1787,8377
112,1250,1768,2280
972,1948,1445,4217
829,553,396,8064
458,191,16,10372
275,424,128,1436
145,1583,28,2185
356,241,1849,8516
5,788,1307,5654
339,801,775,9630
991,199,944,8309
493,955,1878,10373
107,466,580,7590
924,448,86,5056
771,844,1223,1615
70,42,1408,5847
938,407,1506,2581
339,1668,147,1602
673,1849,1950,3607
99,1674,435,6238
326,1414,498,7500
32,1514,441,247
142,349,1375,4918
243,137,1573,2583
735,367,1243,8441
725,1671,1791,10424
631,328,961,2721
679,962,1584,1795
860,835,1613,8610
216,216,377,5550
900,766,369,3061
973,1699,651,4229
433,769,373,9773
866,159,350,4042
833,1311,891,7213
728,521,782,4073
53,1425,182,7049
719,487,1850,10051
941,984,1649,3874
591,1748,1195,8332
906,685,112,6561
891,121,1567,3339
944,38,496,1771
994,942,1553,6890
150,1021,660,1353
54,301,1383,6673
516,662,235,7314
447,255,597,1291
34,1368,533,3005
860,1804,1489,2128
118,212,462,4862
196,1585,1630,7931
565,87,1067,10386
770,1706,420,4300
773,695,514,5858
854,18,22,9849
877,1830,107,9196
823,1151,1252,9966
513,361,1209,2777
593,128,1899,612
861,448,1923,2642
421,1247,1855,7278
951,1514,472,5785
516,1919,301,7812
685,922,1089,9433
138,1036,1416,2382
704,597,233,3687
649,565,1035,3374
808,1037,1656,5407
627,1400,1043,5993
43,1778,1758,4930
857,1847,1234,1053
800,131,1646,6026
218,1043,1929,3046
567,226,1177,4555
753,1492,821,6485
907,201,37,6186
257,187,1080,2726
512,272,1142,2142
960,1244,525,4238
376,1764,335,2414
892,499,899,6324
288,535,161,5309
469,1938,158,4799
971,914,1840,7441
102,210,405,7179
803,1099,541,5564
148,1140,926,5367
83,18,431,7084
931,1373,182,2318
25,480,1169,666
174,1136,762,5786
734,1326,970,7944
640,1141,1836,1214
421,197,1283,10334
653,1070,398,9863
345,77,123,8141
301,136,601,8892
297,1528,499,4987
134,49,1794,1590
54,1648,1885,1649
55,709,1872,8363
373,756,1938,8359
587,1325,921,9161
830,1855,1956,2959
919,1097,703,1750
338,1605,1625,5306
456,742,1318,3937
354,640,791,2471
131,1861,808,4613
492,1851,1387,2498
553,1566,1619,9041
863,547,724,7623
109,875,617,9019
581,1243,902,6275
795,1243,269,6857
125,1871,1423,3204
859,1752,204,6137
295,840,1836,305
178,1642,595,5058
924,874,1464,1334
809,689,1952,1407
885,638,1422,1708
196,1226,1171,8072
772,943,198,5989
100,1689,491,7186
936,141,1336,1248
572,20,1105,7243
182,1622,1753,6882
923,304,1938,3415
808,852,383,1038
878,424,160,4618
8,1731,894,51
412,326,597,7944
717,592,1687,8809
933,1377,27,8211
829,1704,422,4286
565,528,1633,5949
691,197,609,6306
103,852,1540,5609
125,1135,1080,3120
545,97,1167,4183
676,636,1702,8193
944,343,1959,4228
809,570,1673,9171
269,242,1854,4610
465,31,390,10296
800,1177,382,1416
117,883,213,356
865,743,212,6917
91,627,603,6545
611,1404,1000,9725
484,1819,1049,5371
86,65,1944,1990
233,1922,1991,6398
912,1577,1011,1724
123,678,1459,5122
202,378,1201,7844
31,708,306,1761
356,267,1609,9379
462,507,475,3886
963,484,1620,7025
550,904,558,2757
93,237,1127,3461
521,827,467,5992
726,385,774,2953
407,876,258,8046
99,1898,39,4479
243,219,1152,2063
57,1543,612,8897
964,687,1642,1152
356,989,965,9770
490,1810,543,5711
319,1930,813,8989
18,1152,574,6764
356,1012,1556,4968
116,1185,1283,2004
135,1529,1758,1685
838,1663,1818,7897
295,130,352,5528
524,1939,929,6159
100,1021,644,133
379,1499,1500,8866
154,1509,1457,1583
593,1595,1963,5839
599,1473,942,2586
104,456,724,6375
641,981,1154,3523
783,1821,985,10684
525,1783,1241,2072
127,980,1698,589
400,40,306,7107
571,1337,1098,5876
965,1199,895,1478
738,836,619,5912
528,1806,1882,4094
556,723,892,4359
549,1089,482,4487
123,155,1070,1594
359,200,1683,8362
63,967,1782,400
888,190,1602,7939
764,1944,1838,8208
773,1214,532,4185
955,1652,948,3347
623,459,1424,1599
101,1890,1787,5079
560,209,1138,4628
276,1274,218,10171
226,1626,1377,1097
22,549,141,3431
843,839,701,3432
696,1565,1869,2245
63,1904,280,4524
156,269,153,2777
794,661,1967,3323
389,946,898,7551
148,1736,283,8499
838,1350,1741,7237
362,762,1659,2943
680,1531,786,7245
463,397,1143,7568
644,1852,675,7600
398,285,264,3332
404,1399,819,2715
825,1226,820,3620
131,1978,333,4459
196,1731,67,7019
646,513,1896,4974
34,1621,1960,3622
419,1278,694,3535
376,1085,880,5029
398,267,1058,4145
219,493,1585,7043
897,660,1348,2356
887,1892,1986,5317
696,1012,1224,3147
516,1347,1058,7847
582,727,479,4672
341,1324,342,9304
752,331,437,5793
862,558,526,1973
415,25,819,10201
455,231,532,9928
296,1811,504,3881
937,131,1846,8538
330,539,771,2703
704,1964,578,7546
679,193,1185,9212
338,1384,1792,5436
747,1957,1285,5470
805,1745,1936,3623
297,261,729,3222
759,1490,1403,10223
676,440,92,1385
311,866,1447,7303
582,1455,748,1320
742,1712,652,10712
54,48,1325,4644
984,1159,554,7071
693,864,601,4411
533,1780,1968,8734
794,617,1386,5875
104,232,1800,10033
174,816,552,2752
293,1812,818,1851
879,182,1064,4879
550,1727,778,5095
910,906,1356,6249
374,1580,0,9430
449,18,1355,10441
444,956,1132,3160
59,1263,1952,4361
391,102,987,2200
811,519,1176,6641
810,1366,1693,2807
389,726,1712,3320
211,849,1681,2341
666,989,1696,5078
684,593,484,7197
534,411,935,3330
239,1760,331,7987
487,654,40,6810
720,958,1820,7465
121,449,1842,5323
252,1289,909,1807
140,1141,712,8321
451,1563,770,4894
851,666,628,9373
873,1701,386,5578
831,295,257,5670
152,267,418,4110
892,1334,1836,5556
725,1380,1236,10601
307,1150,222,9469
559,1431,1528,1305
316,276,1461,2500
528,419,610,8474
295,72,1972,9871
842,1211,1387,6163
344,1474,194,9554
580,846,1064,7728
596,359,1098,2620
281,1848,1141,6454
207,1952,1943,9941
951,439,1691,3662
551,1219,420,7569
980,1216,558,10626
95,1692,1225,7292
451,1442,1450,2153
997,1498,125,6526
761,880,1829,7977
372,1415,929,8027
647,1463,1227,6064
72,1054,1411,6396
812,1457,836,4685
784,1367,442,9097
680,556,1795,10348
332,1453,362,597
392,1586,1841,8611
709,124,910,6087
858,1961,484,2982
105,1572,169,536
100,1058,1110,5074
358,785,200,4135
746,76,58,7783
791,1523,1936,1876
328,1007,1301,6523
888,1188,1512,7147
617,673,364,3102
394,1402,342,8686
34,1577,1377,5432
156,1586,761,5234
903,941,382,8105
272,299,138,3320
966,1522,1408,7468
395,1303,1660,1194
751,1134,865,4573
206,434,508,5817
756,1787,1873,6765
604,1784,1687,10091
620,164,998,5883
305,1307,516,8931
625,163,1909,6195
535,1114,1140,9642
804,1845,1708,5444
461,245,1684,5794
251,1510,475,9090
266,1207,1043,2561
866,1017,1547,2297
208,882,146,5380
954,619,1771,3315
566,581,1022,8107
538,1251,1125,1261
834,1981,1239,2381
502,1946,714,9673
955,498,1777,9230
513,1972,973,1878
579,603,1970,9320
913,771,902,4766
147,1071,510,4829
980,115,940,6940
830,880,736,9173
973,146,1598,8662
839,442,836,5996
641,1517,1724,4139
985,1137,479,3970
82,1749,682,1649
41,905,1833,8444
155,276,1999,6824
668,1704,1687,4859
452,1309,56,10170
618,1186,18,7774
283,793,112,8996
187,541,646,6704
616,1315,24,5751
623,910,1572,10517
473,647,1924,7224
506,200,1150,8715
132,546,193,7306
270,1558,1288,1989
621,1997,1407,8682
72,1381,1098,4086
927,1794,909,1805
435,1708,1313,9220
857,82,1146,7129
292,1089,935,1901
654,161,1769,9721
936,1381,1211,7650
771,1497,1036,5880
756,1950,507,3204
436,1474,903,2572
995,631,1917,7961
851,1653,732,2904
666,1830,320,8429
660,1693,436,743
59,1426,1076,9690
597,1304,725,3265
703,182,1046,5934
326,1097,1033,9216
942,1589,1587,2762
181,1905,1037,4595
798,1901,1011,8047
784,846,1045,10074
766,259,1228,7338
433,775,1489,8060
518,1950,1997,3412
637,1783,353,4054
82,872,1739,330
27,1464,990,7837
265,1884,1177,2155
282,1749,293,8162
396,1111,817,2511
961,389,324,7542
981,1855,1180,4044
762,632,576,6413
979,136,1946,2785
699,1475,611,7999
382,818,140,8869
810,197,623,3504
580,690,1444,6073
318,470,217,8541
837,1851,1752,5487
610,905,174,8736
192,1940,234,984
226,928,1559,4417
450,1808,1475,1539
181,1629,1736,8602
931,978,1746,3711
326,809,912,4823
604,1327,870,1393
654,1576,1378,4848
202,1681,1791,10192
401,1259,872,4858
643,1036,209,7314
471,1123,30,5106
778,648,328,6739
645,1845,951,7383
889,1878,1196,6044
178,1928,1751,491
697,1827,273,7330
955,325,939,1187
17,487,821,5752
462,355,1556,9683
834,226,1548,8683
912,117,53,3623
608,1067,1838,8548
545,557,1548,3889
925,1815,1793,3047
402,397,1161,4181
392,386,110,6046
935,1803,1205,10007
299,540,170,1471
350,1401,1211,7667
186,1856,1875,7930
346,783,1710,505
622,1627,697,8585
408,1525,1716,2537
758,174,1757,3836
70,1444,1157,2299
820,1524,664,3737
943,1977,518,3956
326,1661,11,10067
211,554,372,6537
308,1670,1251,1887
107,456,159,2067
176,224,982,8078
426,1479,1068,7083
739,643,615,4583
530,488,156,5227
833,411,1228,3223
417,470,1963,1836
247,1625,1127,4164
208,1668,1847,5150
215,433,1354,8569
712,539,277,9019
437,1594,1113,8007
768,361,1464,5966
617,1417,506,10279
987,266,460,6989
310,1383,1091,5452
782,1435,1994,4634
382,1072,1710,924
980,215,1461,9585
270,558,158,9143
120,1265,793,8953
406,4,1619,4384
244,458,247,1676
65,945,421,8925
941,14,735,8746
227,276,1581,1195
881,1317,1597,6681
136,209,1613,7981
193,1932,1246,9565
705,989,1541,6296
657,1451,492,6040
656,1184,1744,8126
488,332,49,5307
583,1691,1515,8215
353,271,579,3588
929,559,695,6184
964,1113,445,1215
703,1162,356,5003
555,1042,310,7964
156,153,1413,4154
957,882,796,9939
475,1377,1296,5655
15,244,847,5436
77,1270,519,1572
51,7,477,8029
513,1629,832,8654
503,592,186,5881
743,753,1877,3320
60,1067,136,5366
131,1571,1636,8264
381,1961,1278,1616
563,169,1787,1621
808,1590,455,10170
691,789,612,4350
542,348,1474,5910
409,1196,9,465
154,1461,1783,7626
632,545,1522,3201
50,600,604,4130
993,1858,979,7370
94,1629,1698,2042
687,1382,1626,909
522,1040,273,10353
903,860,692,6120
523,323,960,10472
354,1081,153,9381
44,1651,1878,2580
