db1.tbl5_fact.col1,db1.tbl5_fact.col2,db1.tbl5_fact.col3,db1.tbl5_fact.col4
684,740,1,8217
684,790,1,8390
656,1012,1,2627
251,512,1,8615
94,1661,1,1142
312,487,1,6936
50,1295,1,1121
2,580,1,4528
10,1986,1,7107
807,1458,1,9986
8,1308,1,6694
372,1070,1,4904
1,957,1,56
7,911,1,6759
8,340,1,2264
1,1277,1,8213
1,1785,1,6354
2,1123,1,8483
297,1929,1,1995
1,1631,1,835
5,515,1,4284
1,1782,1,5271
103,159,1,4310
58,1931,1,1502
70,1568,1,4689
9,1450,1,4137
3,1600,1,20
123,1066,1,1033
243,11,1,9017
2,1276,1,3275
21,726,1,748
4,604,1,7005
2,1021,1,968
137,1926,1,3548
32,1649,1,2799
3,1399,1,3016
6,1020,1,6606
779,1892,1,1805
322,738,1,2024
407,977,1,8593
18,662,1,4433
60,1803,1,9561
9,278,1,3325
1,1821,1,7164
11,595,1,1878
48,396,1,9590
5,1635,1,3676
321,1938,1,6962
2,1819,1,6
9,1587,1,5534
1,143,1,8778
12,395,1,9714
1,1492,1,5176
4,1167,1,3879
11,1716,1,3470
20,397,1,9014
33,1186,1,4334
4,1866,1,6634
28,1032,1,3094
25,912,1,858
6,1197,1,7619
281,1416,1,7978
33,1217,1,2551
7,1445,1,1226
675,1388,1,8846
314,1680,1,7454
878,1324,1,7401
100,1275,1,9532
10,875,1,4557
5,713,1,2718
80,1149,1,3393
867,753,1,8155
61,1683,1,9255
412,894,1,6123
7,386,1,4529
12,504,1,9801
496,1432,1,1082
162,1140,1,6640
871,684,1,7019
185,814,1,6106
16,1236,1,4751
30,1699,1,2655
475,1464,1,156
35,1328,1,4297
4,1536,1,3070
15,1282,1,1964
27,970,1,4595
1,783,1,7664
147,1431,1,6304
1,1145,1,9427
12,1671,1,6143
232,539,1,9669
19,739,1,3756
307,958,1,831
7,1747,1,6575
729,924,1,6122
3,1276,1,6075
1,255,1,1343
385,449,1,7680
157,1265,1,7330
3,1142,1,1845
893,1088,1,462
24,176,1,2992
694,62,1,6844
25,794,1,9771
19,1633,1,201
16,384,1,516
7,475,1,5872
31,1893,1,5451
17,996,1,4840
1,1481,1,6491
4,1101,1,3232
3,50,1,3697
371,1469,1,9468
50,1823,1,3294
171,1095,1,7002
724,673,1,1630
70,1914,1,4019
878,1077,1,4490
6,1757,1,7564
2,623,1,2017
11,1230,1,8359
19,577,1,976
457,1445,1,4548
37,805,1,7306
5,797,1,860
146,446,1,3945
25,1504,1,210
2,541,1,9801
42,80,1,214
515,137,1,5898
308,784,1,5783
45,68,1,7403
9,1473,1,9165
1,42,1,304
19,110,1,7277
156,847,1,7001
8,1935,1,8175
3,899,1,861
599,1887,1,4048
263,671,1,1856
67,1074,1,6952
2,1489,1,2168
2,533,1,5960
1,644,1,1634
57,1069,1,2475
1,1753,1,5041
308,793,1,2378
949,213,1,9943
9,106,1,3412
17,336,1,4660
116,7,1,4276
625,1715,1,4386
453,55,1,8678
1,27,1,9553
2,364,1,7276
159,1335,1,773
97,1646,1,1833
1,1774,1,7606
24,805,1,1300
194,1215,1,8374
3,713,1,9455
382,1254,1,8338
1,811,1,5164
196,1235,1,1840
56,66,1,4595
6,110,1,803
124,33,1,3951
196,1392,1,1319
610,424,1,6119
9,1305,1,4627
95,1975,1,2941
51,1764,1,7570
29,661,1,7399
441,1526,1,5459
1,842,1,2053
5,1630,1,6455
32,758,1,6306
2,1063,1,8408
502,1246,1,786
72,1755,1,6980
20,645,1,1636
250,503,1,7339
16,193,1,3110
37,1049,1,6054
1,1668,1,5005
9,835,1,5757
2,531,1,7446
98,0,1,285
20,1573,1,2414
5,1534,1,1644
19,1696,1,7236
3,260,1,9320
571,897,1,9462
1,1619,1,6336
365,328,1,644
26,910,1,7312
58,1629,1,8218
5,317,1,3938
780,333,1,4808
5,1160,1,6337
46,512,1,6525
952,1595,1,1026
411,1802,1,5723
31,1851,1,1069
931,1188,1,9131
107,77,1,4099
3,600,1,8016
12,401,1,9665
7,615,1,176
7,1660,1,8096
167,574,1,1144
45,144,1,5894
1,1985,1,7342
400,103,1,3511
5,197,1,4063
979,1202,1,7798
710,1523,1,951
641,1312,1,4437
243,419,1,2745
3,1120,1,8313
30,950,1,4671
3,597,1,1921
4,1658,1,9877
54,805,1,5613
1,227,1,6420
796,1719,1,9161
544,1284,1,6173
10,843,1,5931
27,94,1,3809
18,1315,1,4739
414,68,1,6496
97,1865,1,1105
4,711,1,4390
16,301,1,3885
14,140,1,733
738,984,1,1582
2,827,1,3680
1,355,1,3853
409,887,1,2428
462,1129,1,324
383,1401,1,3700
26,1052,1,5182
78,1749,1,7314
38,813,1,8554
1,1645,1,2101
49,824,1,2755
1,566,1,1473
6,660,1,1107
603,1160,1,1804
5,116,1,8273
638,574,1,6658
4,74,1,6907
6,1233,1,5356
62,1552,1,2989
168,875,1,7205
24,663,1,5777
414,709,1,8517
1,176,1,2362
559,661,1,1235
2,1492,1,103
421,1107,1,4913
11,1653,1,747
286,1724,1,4909
86,1792,1,3692
2,214,1,9440
542,722,1,3065
4,284,1,5413
3,285,1,1720
249,17,1,2203
1,1198,1,5152
3,987,1,6027
24,1701,1,7738
281,1920,1,5453
2,1894,1,7185
34,1481,1,1790
115,86,1,9957
352,1201,1,260
618,832,1,1919
200,442,1,6505
74,760,1,5519
14,1074,1,6604
1,1287,1,8176
114,1111,1,9979
948,813,1,7253
139,1523,1,7231
1,909,1,100
23,6,1,3906
56,150,1,2343
98,1404,1,8092
123,699,1,3234
37,814,1,5025
3,745,1,328
649,470,1,9544
103,260,1,2290
3,1757,1,1366
6,939,1,1409
558,853,1,9703
431,713,1,220
12,1750,1,6408
1,1905,1,3240
1,520,1,1270
5,1304,1,7543
62,1301,1,3818
45,665,1,7190
65,609,1,6858
121,837,1,68
1,41,1,9864
1,33,1,8935
8,997,1,7226
2,1652,1,5384
1,1848,1,2013
68,167,1,9898
251,820,1,9639
157,1424,1,3070
254,701,1,7667
82,129,1,291
138,1728,1,6313
4,1394,1,7728
949,1802,1,3680
2,675,1,3911
3,743,1,4652
5,54,1,353
832,405,1,1264
917,1785,1,1827
215,1490,1,4379
62,1872,1,1606
28,481,1,3399
803,1524,1,4552
102,1040,1,3007
662,938,1,1005
6,1062,1,5968
7,1252,1,6429
337,1501,1,2079
2,274,1,2496
667,816,1,2262
25,1592,1,1738
577,11,1,3097
7,338,1,7928
119,1750,1,2445
21,709,1,337
61,1112,1,2984
24,1945,1,9160
782,46,1,6999
100,710,1,4999
4,980,1,8864
509,1805,1,9496
5,136,1,8188
9,1521,1,9907
1,593,1,2596
473,934,1,2971
5,1513,1,3270
4,1182,1,479
551,187,1,844
233,804,1,1626
2,182,1,1881
178,1550,1,8697
522,1372,1,8302
1,721,1,9598
270,1449,1,4493
34,310,1,3481
84,413,1,8543
22,1164,1,9750
104,1762,1,3043
1,28,1,2837
169,244,1,8079
1,1463,1,7875
17,265,1,6565
2,339,1,3629
267,2,1,5018
6,1693,1,8303
17,292,1,9958
14,948,1,7607
182,816,1,1202
21,1163,1,6004
206,938,1,11
1,1463,1,9782
2,10,1,1502
35,1176,1,8321
673,1594,1,7906
1,1598,1,3604
1,1516,1,4196
2,225,1,290
68,752,1,5689
11,1797,1,7394
271,1070,1,9869
1,1122,1,7606
2,1596,1,2694
5,689,1,9563
61,215,1,8375
95,780,1,351
1,328,1,3587
657,1633,1,5916
7,1346,1,9594
117,1672,1,5585
28,1355,1,2850
3,39,1,4436
316,954,1,6405
257,974,1,3928
11,1924,1,6515
46,453,1,7441
4,972,1,5817
98,592,1,6593
6,223,1,5826
311,697,1,3489
3,1889,1,1896
1,1772,1,2909
4,1170,1,1412
2,352,1,5458
25,1704,1,4000
3,1368,1,5449
170,190,1,8848
3,6,1,6293
112,825,1,8542
43,425,1,7009
903,1460,1,1144
1000,81,1,398
377,588,1,646
166,1247,1,7607
10,1136,1,4133
158,1246,1,2235
723,855,1,9676
1,1349,1,1963
31,585,1,810
3,1854,1,6474
37,1245,1,7484
18,1219,1,4416
42,1265,1,6619
35,1040,1,8706
742,1929,1,8526
35,473,1,4820
316,1293,1,8
6,715,1,5816
15,947,1,8133
19,28,1,5415
5,878,1,9491
10,458,1,2947
50,1453,1,5737
43,1122,1,1845
66,1294,1,3612
8,1098,1,7560
6,1710,1,8185
55,1482,1,5687
1,1405,1,3066
4,988,1,9295
1,868,1,680
1,1682,1,7191
3,1530,1,5348
1,933,1,4048
4,1186,1,10
76,791,1,6464
1,491,1,5322
15,1083,1,4217
522,1628,1,8866
210,1050,1,7735
6,386,1,7507
570,692,1,1457
7,898,1,44
1,1176,1,7327
957,1296,1,7777
378,1763,1,4571
18,1016,1,2572
82,1013,1,9608
85,1367,1,8201
2,1740,1,5633
2,273,1,1863
19,1518,1,1234
516,10,1,3126
1,101,1,4712
196,213,1,2458
1,400,1,8202
20,1695,1,6700
67,1109,1,8460
96,713,1,7158
1,1888,1,2715
13,1768,1,4547
44,588,1,7365
1,1126,1,7220
2,89,1,7637
81,993,1,9584
28,1328,1,7542
2,1986,1,9275
31,773,1,8486
520,1439,1,2836
1,1287,1,8014
69,1341,1,7956
1,250,1,4206
1,1107,1,2155
2,1337,1,5109
13,514,1,3924
228,873,1,6085
5,1013,1,7263
61,908,1,3869
12,121,1,3791
3,1379,1,9037
26,1654,1,9900
220,306,1,2008
286,913,1,1274
317,1375,1,6874
7,1666,1,6853
213,34,1,9405
3,1982,1,7812
141,1355,1,2265
680,158,1,1611
1,403,1,9611
15,1387,1,1787
72,151,1,4400
107,607,1,3483
2,1140,1,6547
812,577,1,8572
56,1797,1,6596
2,1394,1,694
1,1291,1,9640
198,1575,1,7026
1,866,1,1756
2,751,1,7034
41,939,1,7694
51,374,1,848
96,1004,1,4062
11,1851,1,1196
184,503,1,9705
826,1766,1,5479
4,1880,1,6333
108,1252,1,8155
586,459,1,5649
96,918,1,3321
92,1033,1,2458
3,591,1,3451
31,843,1,8419
38,132,1,1808
106,971,1,419
977,885,1,3156
1,1956,1,9111
1,304,1,7365
1,1847,1,3819
146,1925,1,2632
2,1939,1,3675
59,968,1,9538
6,281,1,4631
17,1058,1,6869
3,1082,1,5514
367,690,1,1830
45,275,1,9856
661,1274,1,8277
41,1329,1,3813
1,1246,1,887
2,1201,1,7595
922,1875,1,2798
128,1836,1,4148
1,745,1,2132
109,1364,1,2760
12,668,1,8933
6,1518,1,2877
2,1216,1,9904
302,426,1,56
1,1168,1,3363
5,743,1,8999
6,1863,1,3057
2,800,1,4751
25,1999,1,9199
1,1092,1,5004
5,1243,1,7906
609,1989,1,4104
6,1704,1,6268
8,584,1,1782
19,488,1,990
38,1404,1,7553
239,1637,1,5200
2,1617,1,3370
383,850,1,378
163,1367,1,2378
125,724,1,6046
1,710,1,282
1,827,1,2920
48,304,1,6985
359,1963,1,3595
45,967,1,1839
3,961,1,6571
1,84,1,8407
106,1473,1,4731
125,1244,1,2121
2,1156,1,2871
1,1323,1,786
12,943,1,7774
44,497,1,938
111,1004,1,9882
241,1014,1,9449
54,1147,1,3113
1,714,1,6433
93,788,1,6699
889,1825,1,7438
493,1007,1,4535
383,1562,1,9530
5,290,1,5630
155,1443,1,6172
328,1968,1,8462
90,1368,1,1491
4,1374,1,6042
708,908,1,9873
16,311,1,4770
1,297,1,6390
1,1475,1,8602
72,1408,1,6642
15,1385,1,9634
1,886,1,7156
143,725,1,8984
223,520,1,5343
128,377,1,360
3,583,1,4678
98,1177,1,5140
1,49,1,8615
6,1083,1,8313
11,145,1,2221
291,992,1,4130
10,686,1,8263
1,1249,1,3693
8,661,1,4631
24,418,1,8206
683,1546,1,5426
643,1100,1,3901
2,920,1,8463
2,262,1,5893
2,1577,1,5614
206,1960,1,9776
1,1303,1,523
1,1603,1,2818
31,287,1,4951
4,35,1,2840
1,1699,1,7890
8,1376,1,7492
4,998,1,8015
26,827,1,7692
856,427,1,443
1,775,1,6395
9,66,1,8003
601,57,1,9414
398,1153,1,895
11,613,1,2254
105,1494,1,2011
1,661,1,6858
116,452,1,4994
817,1326,1,4636
31,617,1,7809
23,54,1,6998
2,1423,1,9238
65,514,1,4834
47,1302,1,2935
74,629,1,8663
1,363,1,372
34,148,1,6999
48,977,1,1404
3,1184,1,4603
3,1573,1,3947
4,1677,1,4674
116,113,1,1008
53,340,1,668
315,448,1,1447
5,1725,1,3967
518,1489,1,4369
147,405,1,5318
11,1339,1,7247
1,11,1,3030
4,677,1,8233
724,1181,1,5893
6,133,1,7191
7,947,1,4805
2,1428,1,6380
236,129,1,8318
4,1811,1,778
7,1985,1,9028
12,1312,1,9071
14,832,1,4490
12,237,1,6271
24,482,1,7282
250,1676,1,9029
259,916,1,8717
221,1102,1,9444
1,1035,1,7689
223,91,1,4242
1,1555,1,7331
1,446,1,8927
677,42,1,6872
259,662,1,169
35,1540,1,9341
392,344,1,8492
924,689,1,5034
54,1486,1,522
55,1928,1,8810
159,1179,1,9910
3,262,1,8494
2,608,1,8845
165,1575,1,3302
7,1403,1,4160
2,419,1,2280
6,1713,1,9815
8,1726,1,1682
771,518,1,92
104,1549,1,3707
30,1668,1,961
793,1597,1,4160
485,741,1,844
26,1494,1,219
494,900,1,8896
12,241,1,6029
3,337,1,247
3,464,1,5110
80,394,1,8249
24,1791,1,6125
78,509,1,6326
95,623,1,6308
1,1250,1,1913
1,1948,1,4222
30,553,1,7375
2,191,1,267
64,424,1,3483
35,1583,1,9873
45,241,1,1532
5,788,1,4565
68,801,1,4229
279,199,1,7156
986,955,1,9212
299,466,1,318
36,448,1,9793
2,844,1,711
92,42,1,8643
627,407,1,1744
3,1668,1,1324
4,1849,1,2681
2,1674,1,4238
139,1414,1,3052
12,1514,1,4665
1,349,1,2705
392,137,1,5676
36,367,1,6788
7,1671,1,2641
7,328,1,7377
5,962,1,8139
17,835,1,5363
7,216,1,695
34,766,1,4254
184,1699,1,8532
87,769,1,1769
5,159,1,8284
29,1311,1,172
302,521,1,2750
1,1425,1,3103
1,487,1,621
36,984,1,5215
67,1748,1,9181
3,685,1,77
149,121,1,2199
71,38,1,4238
563,942,1,8423
2,1021,1,6028
156,301,1,5856
1,662,1,2545
39,255,1,2858
35,1368,1,1554
10,1804,1,6275
313,212,1,3741
1,1585,1,9154
28,87,1,1628
3,1706,1,1075
147,695,1,3205
1,18,1,1029
284,1830,1,648
298,1151,1,5304
286,361,1,3163
2,128,1,903
63,448,1,4068
1,1247,1,9696
321,1514,1,5077
126,1919,1,2898
30,922,1,9538
133,1036,1,5563
1,597,1,8174
29,565,1,8682
5,1037,1,5253
815,1400,1,7852
343,1778,1,8618
136,1847,1,7229
609,131,1,5682
8,1043,1,5596
476,226,1,7391
6,1492,1,3992
135,201,1,9600
139,187,1,6463
1,272,1,6369
8,1244,1,8615
1,1764,1,9407
979,499,1,3943
1,535,1,1801
33,1938,1,2378
209,914,1,7324
3,210,1,2104
21,1099,1,1272
53,1140,1,5021
2,18,1,435
191,1373,1,3599
5,480,1,3772
3,1136,1,8727
37,1326,1,8573
12,1141,1,2151
551,197,1,4125
408,1070,1,5603
21,77,1,5168
8,136,1,5487
6,1528,1,4050
4,49,1,547
33,1648,1,4423
232,709,1,9944
6,756,1,4825
2,1325,1,3116
20,1855,1,219
1,1097,1,126
107,1605,1,9521
27,742,1,9416
23,640,1,4181
5,1861,1,5161
490,1851,1,2771
1,1566,1,9767
378,547,1,1943
9,875,1,4458
409,1243,1,1255
131,1243,1,988
1,1871,1,7238
284,1752,1,8112
93,840,1,7956
1,1642,1,5354
2,874,1,9510
65,689,1,1372
80,638,1,361
150,1226,1,8105
123,943,1,8550
78,1689,1,7785
174,141,1,8089
42,20,1,7730
4,1622,1,2784
519,304,1,64
1,852,1,2229
9,424,1,3850
131,1731,1,6333
14,326,1,3939
1,592,1,1516
1,1377,1,8772
72,1704,1,6314
769,528,1,7787
35,197,1,2159
25,852,1,2126
6,1135,1,6397
4,97,1,2284
1,636,1,6237
4,343,1,7810
16,570,1,3106
2,242,1,3553
1,31,1,3476
121,1177,1,1839
455,883,1,8414
623,743,1,8054
57,627,1,896
1,1404,1,5610
144,1819,1,5914
1,65,1,3412
84,1922,1,3009
192,1577,1,9177
129,678,1,9825
698,378,1,3671
141,708,1,2891
101,267,1,6286
4,507,1,1409
570,484,1,3873
2,904,1,4678
491,237,1,9528
6,827,1,7447
1,385,1,6490
273,876,1,3459
1,1898,1,4398
285,219,1,5884
4,1543,1,8089
422,687,1,7407
99,989,1,3601
82,1810,1,7072
9,1930,1,5469
1,1152,1,5008
280,1012,1,9568
2,1185,1,6298
9,1529,1,9726
50,1663,1,4691
21,130,1,5687
2,1939,1,3497
2,1021,1,3473
1,1499,1,7227
359,1509,1,9358
1,1595,1,4562
842,1473,1,7615
2,456,1,2359
1,981,1,8251
42,1821,1,7258
1,1783,1,6214
51,980,1,8377
327,40,1,7606
1,1337,1,2620
224,1199,1,9873
11,836,1,578
2,1806,1,5244
2,723,1,8263
545,1089,1,556
1,155,1,852
369,200,1,9411
33,967,1,3641
1,190,1,1913
18,1944,1,2731
255,1214,1,5420
129,1652,1,2366
22,459,1,7539
351,1890,1,267
1,209,1,3917
510,1274,1,7329
317,1626,1,9593
113,549,1,2327
256,839,1,2802
33,1565,1,5553
88,1904,1,2035
37,269,1,7454
8,661,1,985
40,946,1,4100
4,1736,1,6464
15,1350,1,1076
5,762,1,1024
1,1531,1,3898
6,397,1,6971
330,1852,1,8472
10,285,1,1112
152,1399,1,9376
2,1226,1,5081
13,1978,1,7982
1,1731,1,2076
2,513,1,3943
57,1621,1,272
53,1278,1,9316
3,1085,1,9420
20,267,1,190
360,493,1,8738
2,660,1,4015
1,1892,1,8143
74,1012,1,4944
1,1347,1,4867
861,727,1,769
54,1324,1,5167
19,331,1,9203
14,558,1,7590
41,25,1,4799
1,231,1,465
593,1811,1,2601
61,131,1,917
2,539,1,9645
38,1964,1,6127
1,193,1,7152
1,1384,1,66
63,1957,1,9918
72,1745,1,9692
44,261,1,1905
2,1490,1,7194
51,440,1,4572
1,866,1,6717
54,1455,1,9079
36,1712,1,6974
76,48,1,3809
458,1159,1,7566
326,864,1,7862
866,1780,1,1961
837,617,1,2748
182,232,1,44
722,816,1,3843
370,1812,1,4706
130,182,1,1889
1,1727,1,3899
1,906,1,5884
297,1580,1,8912
22,18,1,691
250,956,1,6843
6,1263,1,8302
11,102,1,4559
106,519,1,8707
531,1366,1,7721
1,726,1,8829
355,849,1,3329
212,989,1,5313
6,593,1,627
8,411,1,70
1,1760,1,7550
1,654,1,5614
20,958,1,4320
1,449,1,5962
2,1289,1,3978
318,1141,1,7501
40,1563,1,8060
64,666,1,6785
2,1701,1,1635
277,295,1,2544
372,267,1,7354
28,1334,1,769
520,1380,1,5765
313,1150,1,2604
134,1431,1,992
137,276,1,9921
1,419,1,9722
4,72,1,489
1,1211,1,8180
1,1474,1,4153
2,846,1,512
409,359,1,5698
3,1848,1,735
800,1952,1,5679
49,439,1,3310
3,1219,1,8563
23,1216,1,4702
3,1692,1,1860
887,1442,1,7720
319,1498,1,917
1,880,1,6910
677,1415,1,7265
124,1463,1,6682
1,1054,1,2663
85,1457,1,4693
71,1367,1,9430
3,556,1,1336
164,1453,1,5051
1,1586,1,762
22,124,1,2132
1,1961,1,4815
792,1572,1,9141
156,1058,1,302
2,785,1,7741
7,76,1,3695
2,1523,1,2702
174,1007,1,9668
1,1188,1,8806
303,673,1,6215
649,1402,1,5645
89,1577,1,5521
3,1586,1,669
8,941,1,2129
20,299,1,6739
52,1522,1,218
84,1303,1,8941
36,1134,1,4221
8,434,1,8393
442,1787,1,2622
1,1784,1,5140
18,164,1,722
186,1307,1,9144
1,163,1,1882
110,1114,1,1433
259,1845,1,5182
79,245,1,2321
1,1510,1,6951
2,1207,1,9969
7,1017,1,7178
3,882,1,8891
756,619,1,622
74,581,1,460
5,1251,1,9277
591,1981,1,7226
144,1946,1,8492
5,498,1,9468
10,1972,1,9623
2,603,1,8142
806,771,1,5376
27,1071,1,3453
460,115,1,7313
8,880,1,5926
353,146,1,1822
1,442,1,6432
875,1517,1,989
518,1137,1,8406
9,1749,1,532
185,905,1,2918
157,276,1,6886
478,1704,1,3620
6,1309,1,6565
18,1186,1,3061
364,793,1,9801
191,541,1,2525
11,1315,1,690
315,910,1,1101
1,647,1,8311
196,200,1,5302
3,546,1,8698
5,1558,1,7818
23,1997,1,2201
16,1381,1,9234
28,1794,1,497
33,1708,1,4175
7,82,1,8251
2,1089,1,5531
177,161,1,6970
11,1381,1,1654
25,1497,1,7247
70,1950,1,9899
509,1474,1,244
112,631,1,2256
1,1653,1,7000
299,1830,1,9867
924,1693,1,6744
19,1426,1,2693
797,1304,1,6074
34,182,1,8231
18,1097,1,3248
7,1589,1,6622
77,1905,1,1616
3,1901,1,20
1,846,1,221
1,259,1,3772
5,775,1,7322
11,1950,1,6607
35,1783,1,7577
5,872,1,8443
888,1464,1,7829
5,1884,1,507
15,1749,1,4742
1,1111,1,9061
4,389,1,4588
1,1855,1,6439
37,632,1,6601
155,136,1,9362
2,1475,1,5358
9,818,1,740
1,197,1,9983
301,690,1,8616
193,470,1,3056
1,1851,1,4388
9,905,1,2204
716,1940,1,3923
11,928,1,1958
29,1808,1,5327
8,1629,1,1790
49,978,1,6402
850,809,1,585
982,1327,1,6179
185,1576,1,3201
12,1681,1,1343
23,1259,1,4191
8,1036,1,9401
898,1123,1,4786
112,648,1,9358
16,1845,1,4757
1,1878,1,6026
28,1928,1,7456
887,1827,1,1063
28,325,1,8718
2,487,1,4503
1,355,1,9575
8,226,1,4982
542,117,1,6613
975,1067,1,4969
665,557,1,6067
132,1815,1,5401
37,397,1,5685
47,386,1,6839
32,1803,1,7354
112,540,1,1988
13,1401,1,4068
84,1856,1,5069
1,783,1,4105
4,1627,1,8878
293,1525,1,7807
487,174,1,6655
32,1444,1,3735
1,1524,1,6805
579,1977,1,1242
108,1661,1,3501
12,554,1,9854
49,1670,1,5731
14,456,1,5531
18,224,1,3262
429,1479,1,7265
2,643,1,3844
1,488,1,4826
1,411,1,1982
6,470,1,648
2,1625,1,3924
3,1668,1,1983
1,433,1,5256
3,539,1,2020
7,1594,1,9015
1,361,1,4675
53,1417,1,8072
40,266,1,6981
1,1383,1,2833
48,1435,1,9213
990,1072,1,9274
660,215,1,7103
1,558,1,5992
216,1265,1,4209
8,4,1,3676
1,458,1,1780
5,945,1,4697
6,14,1,4538
28,276,1,8420
79,1317,1,874
153,209,1,4767
4,1932,1,3429
6,989,1,9484
6,1451,1,5605
8,1184,1,9220
998,332,1,3550
190,1691,1,8313
830,271,1,8934
101,559,1,3882
12,1113,1,9702
10,1162,1,9435
22,1042,1,4790
13,153,1,7446
277,882,1,4353
18,1377,1,7472
5,244,1,7060
185,1270,1,5650
336,7,1,9905
13,1629,1,5009
83,592,1,7318
1,753,1,8786
30,1067,1,1034
1,1571,1,212
1,1961,1,6058
55,169,1,9598
5,1590,1,5509
146,789,1,5018
460,348,1,8123
2,1196,1,8126
127,1461,1,6480
26,545,1,9114
1,600,1,4063
74,1858,1,7349
54,1629,1,7943
27,1382,1,7946
577,1040,1,3239
28,860,1,1494
932,323,1,1578
25,1081,1,1598
1,1651,1,2429
19,1738,1,313
2,1913,1,6687
49,353,1,4076
101,732,1,4
19,650,1,7062
1,98,1,9078
19,402,1,5219
1,1326,1,192
93,1668,1,2381
208,790,1,1236
755,753,1,7763
2,1927,1,7932
30,111,1,2404
39,1517,1,6022
560,1913,1,7421
61,706,1,6735
2,39,1,8454
15,993,1,2370
75,1858,1,2468
106,470,1,4428
359,278,1,1260
2,253,1,2055
696,824,1,534
1,565,1,2120
886,1673,1,1524
345,1957,1,3458
79,1538,1,2590
138,1838,1,4420
1,1534,1,7093
1,1988,1,6745
1,305,1,1941
1,536,1,3737
34,205,1,73
3,1402,1,2888
351,1574,1,5358
16,212,1,9180
102,752,1,1346
74,937,1,9979
6,161,1,9224
3,976,1,2007
7,725,1,9423
218,1583,1,8603
45,1658,1,1820
4,752,1,6795
256,562,1,7214
1,894,1,3093
105,1806,1,5290
15,1221,1,2592
134,1401,1,7584
581,312,1,2503
154,680,1,8854
15,581,1,9422
2,244,1,9549
235,560,1,3093
18,108,1,7062
1,1872,1,1674
122,1123,1,9281
5,1475,1,6003
1,42,1,7309
483,77,1,6660
21,673,1,500
5,727,1,326
120,901,1,6034
426,1191,1,888
1,282,1,9188
97,524,1,3674
175,1506,1,7936
3,890,1,929
22,1683,1,4404
1,1174,1,5427
150,882,1,7991
319,1229,1,9847
1,1649,1,625
253,1202,1,4345
181,1863,1,2372
8,1149,1,4700
98,1306,1,8251
1,1120,1,5117
600,845,1,6238
35,1082,1,9470
58,1903,1,8879
81,196,1,7628
38,1702,1,4611
342,1107,1,533
54,214,1,4498
