db1.tbl4_clustered_btree.col1,db1.tbl4_clustered_btree.col2,db1.tbl4_clustered_btree.col3,db1.tbl4_clustered_btree.col4
952,7186,1531,4435
187,7330,738,3206
139,713,1654,4918
520,7950,1062,10279
745,9073,85,9511
91,1060,536,1415
76,8434,24,4480
851,8851,232,10255
243,996,227,6180
844,970,622,2278
666,7944,747,9395
729,1540,612,8283
958,650,1343,5911
988,6246,314,10754
796,5978,1400,9180
661,1179,276,10039
840,9461,623,9506
87,2195,1469,4356
617,9010,1687,7995
914,4765,898,3351
293,9391,228,4845
94,768,5,1448
252,4514,74,3652
550,1945,117,7746
398,8159,946,4152
766,2824,846,7031
53,3184,1458,211
927,4628,325,7668
242,9099,1810,2079
109,8419,112,4720
765,1626,89,1790
623,9542,1828,8435
685,3037,1891,7931
700,7319,901,1358
220,4273,1942,897
760,2013,12,4806
563,4563,320,4384
161,6299,784,2536
968,6403,1943,1243
34,6539,1118,6893
965,5698,1979,2553
36,270,1908,4617
845,7204,1953,1090
828,392,1319,9908
622,7391,1855,7292
369,4989,872,8561
176,8785,797,2360
520,2609,4,3771
274,5197,1433,6137
982,8499,1772,4033
632,4677,295,10334
104,559,1549,3875
155,6002,421,9475
335,4008,142,9224
25,1395,1248,9305
933,9329,1997,3352
295,4372,1970,7691
536,4557,1669,3164
354,1179,1991,7663
885,3480,1038,1570
68,6128,477,2824
326,3601,156,5349
150,8233,1020,10074
856,1039,288,5691
576,646,1857,2548
661,7900,1865,1371
319,606,1932,8835
756,5617,1900,5841
451,8849,14,6097
569,6638,1180,5462
667,8138,1708,3261
111,455,626,1203
634,5196,793,3589
461,1179,1683,8864
864,922,871,10637
963,4057,22,10598
361,5320,362,4504
202,1179,1639,8972
486,122,992,8130
479,5127,682,3476
3,8193,1007,5211
128,1169,1828,10074
25,2678,1008,3004
800,6625,1928,4405
976,1065,1485,1397
26,1179,778,636
41,1674,1636,8678
964,2618,419,10116
582,6835,1024,712
63,1737,370,2710
24,1179,1454,6697
71,2096,201,3800
481,951,1689,4912
872,8551,243,1896
899,7621,1829,10743
267,751,474,7306
825,639,639,1362
94,1179,762,4685
394,1179,24,3477
868,8118,1524,1375
363,7195,284,4287
314,2140,665,9186
116,2738,1072,2728
163,6682,1384,5039
876,6782,341,9827
789,5427,1383,5012
576,8609,1759,3723
305,1179,434,2498
771,6019,1341,8853
739,559,1328,3285
199,8975,1167,5260
984,3771,768,5639
731,6958,1009,1953
179,6647,1136,7929
357,9317,946,5376
739,8410,1287,4313
995,8079,1666,6718
251,2176,1901,6797
298,4650,54,3321
872,943,1414,4152
429,9283,312,9692
3,1743,1790,543
652,3982,1262,1162
677,3809,1632,6839
253,1680,1441,6955
940,91,1101,1284
664,4019,490,5843
578,5769,164,8661
566,9710,734,6938
95,9607,329,2575
166,4609,1108,8756
832,8631,914,6651
330,1060,81,7072
897,1060,708,10383
964,6774,1022,7864
887,5316,1142,6525
853,5474,804,6753
61,7381,904,5584
173,9322,1890,4022
252,7375,1387,2029
460,8820,1181,9031
623,3016,127,4386
214,7075,1138,10067
238,3080,551,3296
414,1179,1382,9912
738,5961,1258,3203
741,3752,441,5192
744,3483,1750,759
674,8896,1169,5084
125,923,1379,2705
940,9557,1040,6075
252,7859,1401,8200
844,1555,1897,3436
949,5060,1310,5738
710,3627,609,8970
196,4081,454,8798
633,5819,921,7865
412,2017,633,8505
455,1060,1019,1373
775,1179,818,5610
53,1179,793,9735
646,5725,1319,3989
338,5685,1136,2824
358,3665,1250,7231
150,1804,622,422
99,8861,68,4653
233,5908,1571,1052
543,799,1762,5835
61,132,957,2676
940,3433,200,7009
195,6492,72,5835
541,8738,1664,4525
754,8954,1639,5644
105,5678,1826,7806
294,5924,107,5485
644,1067,101,3625
450,1301,1636,3489
533,5974,956,5468
155,9526,1846,757
405,7404,1341,7864
895,8457,1799,8314
725,1239,1508,10349
737,116,1223,9184
796,7423,1291,8488
682,7923,488,3169
553,8015,1311,1911
571,1974,400,1260
374,2481,1109,8873
588,7107,334,6719
454,4329,882,10342
201,608,826,3367
731,529,1246,9331
451,7278,994,1276
186,1876,614,1377
607,1658,1175,6254
853,408,1836,7638
723,9502,1194,7536
367,217,982,10333
339,2531,1911,5980
261,4208,981,794
840,7619,1184,7350
923,4256,1131,2130
588,5189,738,9196
542,9222,250,1779
550,9216,1297,5493
305,8037,1914,5070
845,6242,957,5681
725,314,747,1184
637,5153,1771,9478
164,225,925,283
757,8670,388,5525
620,8414,1452,6600
87,9907,323,8596
199,6026,1688,6680
270,4615,1998,6568
50,6386,1912,9109
488,8279,186,3714
197,5078,1403,8782
22,479,1342,2574
664,308,1085,6042
222,6798,1734,3450
941,539,1607,1017
220,7309,1333,3630
662,1060,1389,1070
265,2360,824,4357
72,8371,505,2339
880,548,1540,9815
76,1,726,4604
543,1057,1043,6117
880,7752,1914,6653
434,5626,849,4268
936,5045,2,4933
64,4211,1143,7371
960,2161,579,10139
356,8130,1290,5973
935,9757,634,3636
17,594,1218,3729
675,1179,169,4582
798,1179,1560,9744
565,5271,1249,1240
574,7327,37,5501
768,7516,1199,6117
750,1179,36,6918
435,1060,795,10337
995,6482,1137,4470
440,7336,317,7256
8,4920,1346,549
469,52,39,633
631,256,1312,7723
347,5691,335,1331
601,7755,570,3262
371,1179,780,4839
969,8206,1716,1586
823,2896,1690,9083
174,2675,132,5813
514,4107,760,4710
129,2048,1417,129
565,2124,1693,8942
292,3785,355,4730
695,1179,1547,5503
926,2949,1548,4005
352,6984,1256,7071
223,1665,865,8550
523,6218,364,6541
953,2898,466,1335
706,7441,1256,1633
758,9523,1435,5817
508,5836,36,1068
367,2803,915,1556
665,1245,1347,1562
589,2325,523,2957
651,1179,885,10581
499,8876,1143,5452
89,2365,703,7987
655,3138,1699,5035
948,8334,380,3346
71,8345,906,6297
432,7261,78,6175
688,3268,569,10273
347,4473,737,2935
262,5726,396,6618
270,7550,886,3955
508,8185,883,9629
507,8725,973,4816
616,6780,1562,5015
419,6969,747,3645
71,786,20,1474
73,6305,1978,8464
654,465,1976,2939
502,7565,1280,9364
573,1179,1550,2301
145,7802,1855,1394
45,1727,1547,923
740,1991,207,3263
104,9001,429,601
108,9462,1332,9277
316,2881,1709,8018
120,702,348,7698
498,8361,1559,5377
42,2081,915,580
939,9625,733,10031
98,9622,1917,1564
705,5155,520,8419
310,264,955,2043
213,9044,500,703
462,7465,583,2171
740,1763,720,10685
422,7746,1343,7133
995,8198,606,2913
388,9631,1324,8554
696,8204,1448,6721
111,5879,1714,9789
910,2767,587,7009
858,947,1486,10550
271,3781,91,468
824,3346,935,10550
995,1810,1,2708
101,9319,1996,9641
209,7209,115,4992
738,2712,193,8840
792,7458,1709,4636
21,6879,105,616
759,4535,1895,9089
158,3109,634,1172
890,4204,1096,1131
740,2477,552,3103
929,9636,1863,1661
342,6489,1107,476
399,380,382,4160
453,9719,207,3079
698,2621,21,7877
142,3581,1150,1652
849,5662,13,3645
869,3101,1035,7776
396,3649,1560,4908
535,2205,1170,4837
140,3439,684,1783
960,1382,308,5366
239,8814,1835,3603
291,2771,1746,7059
816,5522,311,10407
81,6792,923,9823
559,8021,444,3970
864,133,1230,946
869,4796,1840,6565
170,5796,1977,9841
773,9467,804,3213
976,6086,1405,6736
579,6291,1585,2361
525,8699,1640,9321
541,7965,865,6967
109,529,334,8015
211,2238,294,9133
775,6076,185,2135
437,405,1666,2515
321,4183,20,1298
996,4702,793,8789
899,5552,477,2536
713,4369,525,4013
83,8252,292,4087
955,1179,552,1537
375,3779,380,9026
52,3974,230,8379
866,5440,837,10035
495,7719,27,8970
255,3110,260,2653
585,4994,1975,4697
219,8299,1326,1457
654,7906,1730,4120
99,3334,1993,5617
128,1021,861,5491
917,1060,1299,4083
218,3006,512,997
476,6477,1307,2610
782,1215,686,3018
457,320,1520,2096
979,1051,155,9590
21,3385,619,3710
689,6161,1905,5644
559,3181,510,8957
628,4728,796,8000
328,6955,197,3718
887,7716,836,8137
690,1538,1229,7939
479,6413,692,4275
784,6278,1834,3318
873,2448,1820,3053
338,1518,1207,4644
871,5202,918,5098
858,1742,150,10447
178,9894,307,1624
420,4174,891,1371
481,1331,128,4502
48,9241,1375,5533
826,2214,85,2543
905,8876,310,5147
766,9758,1993,4571
29,460,1561,5942
84,9255,1904,7559
788,1179,344,5598
501,3664,1024,2097
545,2221,1677,7139
328,6730,360,3544
609,6697,1985,9707
433,3168,574,6188
587,8358,1112,6870
686,6341,1780,2023
852,7782,970,3826
248,6583,1125,4721
851,558,18,9403
133,3749,396,6959
689,1179,1388,6356
364,4609,821,9128
739,7784,1678,8752
574,5221,142,3618
779,5301,604,10555
424,2461,735,5442
414,2538,101,2647
769,7383,1645,6406
655,5891,941,8122
511,3590,1817,3757
384,1756,453,4425
387,6896,1177,2276
814,2731,303,8490
448,8172,1763,3103
563,7372,342,4281
302,1179,363,5837
98,1948,20,9346
972,368,335,3101
305,958,398,10003
556,8449,50,2186
41,6863,140,5101
990,9827,1357,1981
467,7271,372,5057
439,8168,1692,9824
326,8670,1671,7192
568,4335,669,9462
999,2415,588,10221
32,7458,349,4953
411,3569,1131,8432
625,8479,158,3106
811,9878,1264,9565
113,4229,951,6394
507,5916,1909,9065
55,5950,1195,6304
555,9669,558,1348
723,4320,1941,5454
351,2684,1243,1337
328,2031,1806,9477
545,2896,1656,4140
269,899,151,1123
195,4921,858,1764
412,6046,663,2668
636,7061,1190,4739
78,410,914,4254
766,8565,1462,8727
656,4179,1584,5910
82,481,672,8511
741,1060,1455,8647
136,8171,987,6137
538,271,649,2270
688,3535,508,1502
718,4614,769,7753
932,3074,1620,2118
923,9952,1397,8504
305,9008,1776,2530
310,8179,699,9486
387,796,1241,6810
724,8166,1190,9713
865,7555,743,6038
914,2534,1922,9649
548,1191,1914,6430
505,936,707,1024
387,6097,1665,5428
292,22,1562,1746
178,3203,1253,7048
671,451,1013,7884
428,273,1282,8187
879,1024,726,10129
523,8357,1232,9827
680,6553,1821,4086
311,1179,1835,1257
79,7856,1868,4109
13,8020,1016,8340
53,7796,445,845
446,9128,911,1582
765,8287,1931,10319
64,570,1679,618
371,1179,347,7408
502,5436,1540,3905
569,6706,320,2823
95,766,1107,1461
532,1626,455,1480
259,9024,1012,8554
584,6320,1523,8393
247,4710,1827,7454
126,653,748,9364
498,1179,769,7917
45,5834,1866,4071
981,5624,1430,6937
267,6042,310,7636
639,2877,1962,7961
541,4606,1124,3155
93,3525,1262,9248
735,5394,593,4006
315,4555,1239,9344
611,9382,1090,7995
70,7155,1549,5748
592,383,1698,1473
448,2198,930,3636
909,5367,1791,4243
366,570,792,2564
811,2642,163,9214
619,5221,1133,10026
613,3731,380,9685
409,2988,1960,1163
90,9263,1140,5307
508,6474,993,9400
876,761,1603,1246
527,7402,1823,2259
109,927,1676,5368
774,2144,1681,1575
671,1798,389,7070
764,7518,253,9945
88,7597,466,4859
606,4247,1490,7613
271,450,641,686
246,9009,1276,3583
360,6391,456,5618
377,9146,1122,8404
205,4580,189,5262
344,6585,1103,7311
829,3885,1283,2449
797,2547,784,10524
759,3032,819,6741
454,3739,123,8447
907,1209,1086,3699
66,9020,1597,8830
986,4022,154,8372
557,7667,454,5450
978,984,509,6074
42,9761,1754,4898
228,1060,1614,3883
950,9727,1849,9434
812,5928,64,5105
443,6354,492,522
233,5205,172,4541
198,5624,994,2060
496,6351,702,1114
847,9177,182,1806
31,4867,1731,3766
263,2672,1787,8377
112,1179,1768,2280
972,5877,1445,4217
829,2906,396,8064
458,2051,16,10372
275,8687,128,1436
145,6522,28,2185
356,4451,1849,8516
5,4563,1307,5654
339,4533,775,9630
991,4059,944,8309
493,9019,1878,10373
107,7708,580,7590
924,4796,86,5056
771,7155,1223,1615
70,4141,1408,5847
938,4704,1506,2581
339,4144,147,1602
673,2167,1950,3607
99,3145,435,6238
326,9215,498,7500
32,7274,441,247
142,9011,1375,4918
243,9798,1573,2583
735,5651,1243,8441
725,9884,1791,10424
631,1362,961,2721
679,458,1584,1795
860,1060,1613,8610
216,3701,377,5550
900,7054,369,3061
973,3742,651,4229
433,1060,373,9773
866,2042,350,4042
833,239,891,7213
728,4933,782,4073
53,4763,182,7049
719,3663,1850,10051
941,9329,1649,3874
591,7712,1195,8332
906,1179,112,6561
891,1455,1567,3339
944,5621,496,1771
994,9586,1553,6890
150,5694,660,1353
54,9753,1383,6673
516,9661,235,7314
447,4700,597,1291
34,4295,533,3005
860,7786,1489,2128
118,5366,462,4862
196,1907,1630,7931
565,3588,1067,10386
770,7983,420,4300
773,8656,514,5858
854,1257,22,9849
877,2207,107,9196
823,8971,1252,9966
513,7267,1209,2777
593,555,1899,612
861,8160,1923,2642
421,6825,1855,7278
951,3092,472,5785
516,1273,301,7812
685,1212,1089,9433
138,8985,1416,2382
704,2719,233,3687
649,1179,1035,3374
808,1062,1656,5407
627,7163,1043,5993
43,1060,1758,4930
857,6489,1234,1053
800,8494,1646,6026
218,5249,1929,3046
567,6611,1177,4555
753,6977,821,6485
907,8367,37,6186
257,6337,1080,2726
512,2991,1142,2142
960,3857,525,4238
376,9394,335,2414
892,5871,899,6324
288,2691,161,5309
469,4176,158,4799
971,4502,1840,7441
102,1204,405,7179
803,1179,541,5564
148,1593,926,5367
83,2238,431,7084
931,553,182,2318
25,6499,1169,666
174,3933,762,5786
734,3173,970,7944
640,7119,1836,1214
421,8864,1283,10334
653,2414,398,9863
345,5831,123,8141
301,5504,601,8892
297,1689,499,4987
134,1179,1794,1590
54,3952,1885,1649
55,6182,1872,8363
373,9527,1938,8359
587,1133,921,9161
830,4281,1956,2959
919,6102,703,1750
338,1344,1625,5306
456,1980,1318,3937
354,8252,791,2471
131,8040,808,4613
492,3413,1387,2498
553,1891,1619,9041
863,5248,724,7623
109,1179,617,9019
581,7742,902,6275
795,3356,269,6857
125,1938,1423,3204
859,7722,204,6137
295,9797,1836,305
178,7423,595,5058
924,5142,1464,1334
809,768,1952,1407
885,1084,1422,1708
196,8398,1171,8072
772,4888,198,5989
100,7299,491,7186
936,4972,1336,1248
572,758,1105,7243
182,5257,1753,6882
923,6465,1938,3415
808,7052,383,1038
878,1626,160,4618
8,5096,894,51
412,1179,597,7944
717,7408,1687,8809
933,6281,27,8211
829,3317,422,4286
565,5357,1633,5949
691,5422,609,6306
103,2568,1540,5609
125,1069,1080,3120
545,3195,1167,4183
676,7235,1702,8193
944,1179,1959,4228
809,643,1673,9171
269,7528,1854,4610
465,748,390,10296
800,3796,382,1416
117,5000,213,356
865,1773,212,6917
91,7577,603,6545
611,4919,1000,9725
484,9264,1049,5371
86,2748,1944,1990
233,520,1991,6398
912,4489,1011,1724
123,4191,1459,5122
202,8276,1201,7844
31,1059,306,1761
356,415,1609,9379
462,6087,475,3886
963,4316,1620,7025
550,3901,558,2757
93,1342,1127,3461
521,2492,467,5992
726,4414,774,2953
407,1179,258,8046
99,1079,39,4479
243,8761,1152,2063
57,4857,612,8897
964,8500,1642,1152
356,4113,965,9770
490,2872,543,5711
319,9381,813,8989
18,4947,574,6764
356,8345,1556,4968
116,1179,1283,2004
135,8529,1758,1685
838,6060,1818,7897
295,506,352,5528
524,3065,929,6159
100,9998,644,133
379,8163,1500,8866
154,3217,1457,1583
593,4894,1963,5839
599,988,942,2586
104,5368,724,6375
641,7744,1154,3523
783,8676,985,10684
525,173,1241,2072
127,9573,1698,589
400,7055,306,7107
571,1462,1098,5876
965,9245,895,1478
738,7644,619,5912
528,784,1882,4094
556,5657,892,4359
549,5237,482,4487
123,5476,1070,1594
359,8439,1683,8362
63,1630,1782,400
888,725,1602,7939
764,7149,1838,8208
773,7298,532,4185
955,3483,948,3347
623,2691,1424,1599
101,7079,1787,5079
560,1179,1138,4628
276,4526,218,10171
226,2511,1377,1097
22,4257,141,3431
843,1964,701,3432
696,2079,1869,2245
63,9387,280,4524
156,5101,153,2777
794,8330,1967,3323
389,9528,898,7551
148,3027,283,8499
838,9880,1741,7237
362,8389,1659,2943
680,1444,786,7245
463,6275,1143,7568
644,4633,675,7600
398,9484,264,3332
404,6215,819,2715
825,4018,820,3620
131,8494,333,4459
196,7584,67,7019
646,2026,1896,4974
34,7375,1960,3622
419,9385,694,3535
376,4310,880,5029
398,1179,1058,4145
219,1060,1585,7043
897,1179,1348,2356
887,3619,1986,5317
696,6379,1224,3147
516,1887,1058,7847
582,6991,479,4672
341,6839,342,9304
752,2012,437,5793
862,1327,526,1973
415,5612,819,10201
455,9935,532,9928
296,2830,504,3881
937,9159,1846,8538
330,1179,771,2703
704,6292,578,7546
679,6612,1185,9212
338,8326,1792,5436
747,4915,1285,5470
805,4114,1936,3623
297,1179,729,3222
759,4236,1403,10223
676,34,92,1385
311,7810,1447,7303
582,7534,748,1320
742,4751,652,10712
54,1179,1325,4644
984,1060,554,7071
693,8016,601,4411
533,3749,1968,8734
794,3029,1386,5875
104,4529,1800,10033
174,2262,552,2752
293,363,818,1851
879,2514,1064,4879
550,824,778,5095
910,6379,1356,6249
374,1146,0,9430
449,597,1355,10441
444,7245,1132,3160
59,8795,1952,4361
391,9548,987,2200
811,9463,1176,6641
810,3685,1693,2807
389,5456,1712,3320
211,2120,1681,2341
666,6973,1696,5078
684,7693,484,7197
534,9921,935,3330
239,233,331,7987
487,9403,40,6810
720,1300,1820,7465
121,2466,1842,5323
252,2000,909,1807
140,8614,712,8321
451,2072,770,4894
851,1451,628,9373
873,5306,386,5578
831,1179,257,5670
152,6255,418,4110
892,4736,1836,5556
725,529,1236,10601
307,931,222,9469
559,7813,1528,1305
316,3786,1461,2500
528,9981,610,8474
295,5035,1972,9871
842,9767,1387,6163
344,3101,194,9554
580,1060,1064,7728
596,1465,1098,2620
281,3510,1141,6454
207,6307,1943,9941
951,4430,1691,3662
551,1179,420,7569
980,589,558,10626
95,5462,1225,7292
451,7952,1450,2153
997,2330,125,6526
761,9662,1829,7977
372,3469,929,8027
647,9113,1227,6064
72,170,1411,6396
812,4298,836,4685
784,5760,442,9097
680,4375,1795,10348
332,1179,362,597
392,3527,1841,8611
709,9223,910,6087
858,9597,484,2982
105,1060,169,536
100,7669,1110,5074
358,9337,200,4135
746,1902,58,7783
791,9955,1936,1876
328,1060,1301,6523
888,5516,1512,7147
617,1060,364,3102
394,6331,342,8686
34,5273,1377,5432
156,123,761,5234
903,7476,382,8105
272,8798,138,3320
966,2921,1408,7468
395,9286,1660,1194
751,2151,865,4573
206,2713,508,5817
756,7923,1873,6765
604,1715,1687,10091
620,9895,998,5883
305,1060,516,8931
625,6894,1909,6195
535,1889,1140,9642
804,4656,1708,5444
461,1895,1684,5794
251,2927,475,9090
266,2693,1043,2561
866,5252,1547,2297
208,4241,146,5380
954,5250,1771,3315
566,2561,1022,8107
538,1826,1125,1261
834,3506,1239,2381
502,4931,714,9673
955,7202,1777,9230
513,2475,973,1878
579,6477,1970,9320
913,5417,902,4766
147,3184,510,4829
980,4721,940,6940
830,4152,736,9173
973,3244,1598,8662
839,693,836,5996
641,1179,1724,4139
985,6599,479,3970
82,1179,682,1649
41,1619,1833,8444
155,3914,1999,6824
668,3873,1687,4859
452,564,56,10170
618,8687,18,7774
283,8992,112,8996
187,640,646,6704
616,162,24,5751
623,4346,1572,10517
473,7704,1924,7224
506,1060,1150,8715
132,1179,193,7306
270,4464,1288,1989
621,9330,1407,8682
72,3708,1098,4086
927,6749,909,1805
435,137,1313,9220
857,9875,1146,7129
292,7106,935,1901
654,1179,1769,9721
936,4251,1211,7650
771,1058,1036,5880
756,4614,507,3204
436,1179,903,2572
995,8361,1917,7961
851,5413,732,2904
666,5842,320,8429
660,3903,436,743
59,7224,1076,9690
597,9579,725,3265
703,3051,1046,5934
326,3666,1033,9216
942,2760,1587,2762
181,3835,1037,4595
798,1360,1011,8047
784,8614,1045,10074
766,3973,1228,7338
433,2829,1489,8060
518,145,1997,3412
637,2373,353,4054
82,229,1739,330
27,5388,990,7837
265,4680,1177,2155
282,8049,293,8162
396,2665,817,2511
961,3593,324,7542
981,2829,1180,4044
762,3336,576,6413
979,7816,1946,2785
699,1241,611,7999
382,5048,140,8869
810,3295,623,3504
580,9576,1444,6073
318,1179,217,8541
837,1388,1752,5487
610,8297,174,8736
192,5752,234,984
226,1821,1559,4417
450,8476,1475,1539
181,595,1736,8602
931,9254,1746,3711
326,6655,912,4823
604,8743,870,1393
654,7877,1378,4848
202,5784,1791,10192
401,6884,872,4858
643,6049,209,7314
471,3605,30,5106
778,9527,328,6739
645,7287,951,7383
889,695,1196,6044
178,3044,1751,491
697,1946,273,7330
955,2722,939,1187
17,9715,821,5752
462,9875,1556,9683
834,1806,1548,8683
912,8141,53,3623
608,8301,1838,8548
545,8983,1548,3889
925,8125,1793,3047
402,2639,1161,4181
392,9178,110,6046
935,3883,1205,10007
299,3725,170,1471
350,8264,1211,7667
186,4973,1875,7930
346,2764,1710,505
622,3989,697,8585
408,591,1716,2537
758,8216,1757,3836
70,6320,1157,2299
820,5398,664,3737
943,5339,518,3956
326,9218,11,10067
211,3899,372,6537
308,9622,1251,1887
107,9760,159,2067
176,6837,982,8078
426,7320,1068,7083
739,9304,615,4583
530,1876,156,5227
833,7670,1228,3223
417,158,1963,1836
247,733,1127,4164
208,4454,1847,5150
215,2028,1354,8569
