db1.tbl5.col1,db1.tbl5.col2,db1.tbl5.col3,db1.tbl5.col4
884,635,732,2639
255,156,1581,8957
177,598,3679,236
547,147,3852,4491
253,69,2427,5960
507,971,323,1799
673,369,3699,3387
20,587,5181,3999
805,625,7313,1446
74,514,8553,131
992,233,2100,6369
718,678,2754,5592
459,610,1472,4213
983,635,1106,6059
177,466,1803,1458
381,556,8272,5298
36,893,6657,2022
970,835,6906,1948
119,286,5355,6605
914,617,2988,9812
629,293,7204,6861
0,480,5776,7271
720,133,8516,7867
935,7,2361,9949
310,27,1234,4718
207,782,102,4150
153,734,4912,523
761,519,746,2481
682,309,4908,4484
314,645,3691,6810
306,540,9439,7502
503,626,3064,8537
618,493,5412,2312
654,33,1719,7015
519,6,2202,7271
605,39,5151,9890
909,329,6026,140
96,908,7737,6892
489,61,5452,7776
6,85,7184,9313
785,724,1789,2883
11,115,9956,7628
513,576,259,9226
945,296,1918,7461
348,378,6504,9174
916,681,5518,3460
6,627,6603,2584
499,321,8175,4733
474,627,9978,9348
523,732,7252,9769
851,394,7230,6547
56,356,99,1307
589,561,3905,2852
585,838,2342,2224
232,418,8091,3444
790,477,3233,1251
29,335,5024,9863
366,590,327,1395
825,999,9543,9206
606,19,2289,4741
819,411,1365,756
55,890,1408,7304
9,548,9702,2620
914,258,219,2429
146,604,6407,9423
363,698,3239,7805
598,356,1269,4024
252,200,7542,34
698,410,3817,7433
939,287,7189,20
744,47,6857,2312
252,764,67,456
442,557,9863,7287
735,369,8934,7900
339,230,7225,4478
515,94,5383,1062
352,302,2012,7920
623,217,9897,7127
704,551,9638,7189
652,386,3069,9782
322,714,7666,8094
139,627,290,8238
860,924,6312,4841
950,90,7727,4634
444,57,3679,7649
94,433,3910,5167
552,521,4651,4774
419,767,352,5079
513,828,1263,7248
789,760,1826,1653
149,482,4378,44
552,366,1605,4370
350,888,3398,3764
115,828,4551,3032
631,406,3006,4327
236,517,1004,85
269,330,5967,1613
860,699,6428,6781
290,234,2078,7227
433,882,2495,3291
8,410,2261,8779
750,182,1737,8794
629,286,3096,6781
863,122,7927,3516
826,157,2444,1256
823,322,336,3035
474,12,2983,7516
521,826,9159,5286
536,565,6998,4955
684,871,4998,9001
736,788,8863,637
10,554,9495,152
612,778,8187,5909
776,620,9906,2738
902,834,2595,138
326,677,2970,6239
929,862,3269,725
594,919,478,5700
275,617,843,2365
369,562,1625,18
489,203,1880,9628
344,956,8696,1961
772,301,8301,1851
367,42,9597,7112
732,794,4492,5521
310,596,3480,9054
730,728,8542,100
600,669,9749,8784
484,861,3042,6838
14,505,2836,7135
757,638,8078,6029
687,190,7874,2509
3,777,6564,1955
845,898,3628,9846
375,972,5017,7078
368,59,8302,7543
464,794,9957,4780
532,465,7606,9880
719,378,1201,910
985,428,6003,6163
136,61,10,7993
833,919,9781,6715
362,301,1501,6142
974,637,8320,6605
930,973,7905,1181
215,998,3603,7531
367,171,4195,604
116,504,289,5849
178,62,5688,2370
245,771,7393,202
127,15,9868,242
357,690,7605,9721
77,841,2693,6231
740,879,9562,3740
292,100,8374,2721
773,986,350,6026
81,175,3586,8851
341,192,5915,8904
337,964,9593,9366
818,972,5584,5219
577,812,2849,8438
95,898,4435,730
144,272,6404,1560
576,466,3927,9176
520,932,6514,8687
396,772,7440,5408
995,174,5816,6558
356,233,6592,2575
185,811,5825,7508
669,215,3488,1082
542,490,1895,2753
150,416,2908,2958
318,758,1411,8735
753,532,5457,6833
667,450,3999,4314
58,835,5448,5090
9,754,8847,2150
856,799,6292,6103
123,279,8541,883
355,243,7008,2677
345,674,1143,5238
793,145,397,3975
236,66,645,6
332,102,7606,7645
16,309,4132,9737
423,921,2234,5400
323,955,9675,2089
22,636,1962,4191
930,116,809,5623
458,471,6473,2293
459,762,7483,7391
520,320,4415,4209
718,434,6618,4425
556,369,8705,3224
420,737,8525,1240
964,699,4819,7517
402,186,7,3493
330,587,5815,3590
456,784,8132,8908
482,468,5414,8455
497,660,9490,6944
26,706,2946,317
396,875,5736,2207
952,795,1844,640
187,472,3611,858
139,555,7559,4243
520,453,8184,9662
745,445,5686,9166
91,681,3065,9477
76,93,9294,8243
851,735,679,1019
243,789,7190,7900
844,37,5347,8479
666,781,4047,5373
729,481,9,6357
958,746,6463,5211
988,110,5321,7772
796,889,4216,4738
661,409,8865,3901
840,167,7734,7902
87,565,7506,4933
617,396,1456,7670
914,126,43,1549
293,989,7326,4934
94,786,7776,2666
252,41,4570,2453
550,40,2571,1567
398,561,9607,3752
766,486,8200,8479
53,898,5632,2473
927,670,1862,435
242,843,1233,9181
109,398,3125,6224
765,181,4711,2405
623,180,2457,8446
685,940,8201,1834
700,677,6699,7042
220,743,8459,8656
760,717,7157,4351
563,866,2714,422
161,463,4546,5933
968,49,7364,9480
34,407,7219,6072
965,400,7636,9540
36,145,9583,554
845,297,7541,6
828,144,9274,1765
622,15,8485,2091
369,84,2835,4830
176,215,8013,1657
520,481,7955,9003
274,51,4205,6094
982,547,2154,7463
632,106,5108,9420
104,218,3923,1962
155,934,6084,490
335,336,7262,8509
25,920,3868,8082
933,370,3790,2548
295,997,9036,9408
536,809,9899,8524
354,253,2007,1176
885,404,1273,6099
68,579,6873,2600
326,984,6852,3094
150,698,9404,2263
856,635,7811,1066
576,29,2264,5744
661,184,1610,2790
319,288,9610,7079
756,358,1786,1673
451,473,4399,2363
569,984,3482,3723
667,564,6546,3501
111,399,8571,2814
634,688,6595,6642
461,983,693,348
864,132,9639,2122
963,501,7025,4133
361,502,1755,211
202,873,7033,3529
486,998,7693,7737
479,76,847,6349
3,349,4061,4100
128,59,1195,9458
25,454,9704,147
800,878,5478,1709
976,464,6332,3022
26,310,8154,3990
41,90,5648,7854
964,930,3320,3836
582,964,2457,8183
63,297,3450,4523
24,324,8418,368
71,279,1807,7144
481,710,418,1470
872,966,3155,2597
899,117,9110,1302
267,694,7364,1894
825,909,3818,2524
94,566,2631,1088
394,270,3674,5705
868,516,9537,1326
363,100,4630,7484
314,387,6868,4269
116,285,5513,7582
163,979,1829,9475
876,52,9855,3356
789,729,8276,6216
576,840,3812,1102
305,797,886,1067
771,239,7594,744
739,213,2797,3074
199,615,4147,2490
984,360,2131,7544
731,363,2759,3764
179,733,8932,6021
357,851,2876,2862
739,859,9903,9074
995,700,55,5955
251,326,3362,6868
298,835,8998,2560
872,475,3056,4791
429,822,4750,3834
3,610,9198,2774
652,96,5003,8268
677,326,7905,3114
253,72,4103,5704
940,993,6267,1012
664,255,1781,4285
578,742,989,9066
566,169,7552,4357
95,993,5199,3556
166,332,3369,2325
832,156,377,6957
330,418,2377,9917
897,940,6045,3988
964,457,281,2354
887,733,2919,6693
853,875,6984,2394
61,857,3594,5542
173,98,1838,4521
252,731,6570,41
460,924,8406,1848
623,243,4730,4191
214,965,2120,7430
238,770,2870,2866
414,476,785,9838
738,440,7773,6893
741,193,937,8396
744,374,9881,3334
674,661,9448,3659
125,366,3112,7079
940,154,6432,654
252,498,6698,2362
844,533,7437,9584
949,457,4534,8075
710,627,9529,5371
196,112,5629,5452
633,944,6171,4839
412,722,8461,7593
455,23,1490,284
775,282,6041,9532
53,291,9872,511
646,362,4769,4124
338,400,6389,3078
358,567,8601,4637
150,265,6641,8406
99,53,9633,5119
233,848,7155,3331
543,619,8983,2308
61,713,5342,1837
940,713,359,8010
195,421,4677,5119
541,848,5139,5736
754,894,8614,565
105,473,8312,7639
294,729,2220,8992
644,242,4129,1278
450,353,8262,9493
533,387,3692,7191
155,177,4630,5084
405,474,8205,3504
895,572,5425,9183
725,404,3900,5613
737,35,8462,6517
796,357,5892,6905
682,557,5613,376
553,606,9775,8142
571,326,522,1104
374,43,2817,6746
588,319,4950,9805
454,737,2839,5674
201,657,7889,5242
731,471,7491,2847
451,268,8014,8214
186,524,7691,2703
607,24,442,4865
853,772,6394,6662
723,639,8002,3348
367,550,9413,9110
339,156,894,376
261,875,2253,6434
840,184,2010,9442
923,173,6857,9388
588,928,4993,9862
542,983,4635,7620
550,393,7808,6485
305,185,6997,1356
845,280,9237,1766
725,585,4833,5505
637,294,2934,9557
164,527,8662,5426
757,187,371,3841
620,411,6998,3244
87,971,1403,543
199,683,4602,6047
270,185,3946,8967
50,543,4673,1620
488,574,1007,4312
197,860,667,8723
22,300,1446,7828
664,308,3966,888
222,188,4368,392
941,817,5317,9813
220,410,7246,3457
662,537,3029,7668
265,386,8232,2363
72,857,5892,7354
880,550,7190,9540
76,192,4804,317
543,162,6379,6537
880,52,8317,8896
434,474,777,3771
936,173,9027,9233
64,195,9070,4244
960,210,4489,4653
356,789,6270,6885
935,699,7281,4006
17,389,9028,4642
675,307,8716,2127
798,456,9443,4613
565,330,7688,2749
574,725,4241,8435
768,494,7330,8200
750,328,8926,3654
435,28,6871,9515
995,682,168,5439
440,121,9340,2370
8,457,8491,2603
469,417,5033,5747
631,158,521,3533
347,597,8809,7565
601,813,9909,8584
371,515,8493,1251
969,1,8844,2966
823,644,3301,9358
174,301,4159,7571
514,78,2279,3007
129,658,9814,7813
565,677,1681,7206
292,314,91,8384
695,974,3706,8518
926,749,960,4120
352,327,4159,4197
223,275,843,8854
523,715,218,4837
953,451,8895,4025
706,564,6028,4257
758,485,246,4773
508,106,5109,9077
367,566,8248,3953
665,245,6124,2294
589,934,6325,6317
651,888,6307,3467
499,163,1912,1032
89,953,4221,1471
655,526,7374,5113
948,0,266,5690
71,862,3482,6805
432,136,9872,4071
688,150,1531,7739
347,179,4564,1148
262,921,4228,8232
270,743,7155,6480
508,486,9211,3756
507,699,317,7408
616,17,9792,7261
419,224,710,6663
71,104,8642,3796
73,998,1743,3447
654,717,1323,8276
502,697,2680,7832
573,64,4237,4457
145,332,3051,5370
45,371,4664,2639
740,206,2704,9222
104,228,5675,7687
108,580,6787,930
316,141,2640,1821
120,717,7376,5902
498,685,8138,5827
42,708,5362,3809
939,330,694,9785
98,927,4253,5531
705,818,8531,9312
310,708,1768,9873
213,739,8283,1924
462,270,171,2440
740,948,2749,7013
422,710,3102,3442
995,324,620,1207
388,989,5214,9358
696,526,9180,5582
111,797,76,8253
910,845,2198,8354
858,919,4237,4647
271,727,8422,7402
824,546,6027,9275
995,68,5855,238
101,907,2544,3786
209,211,2857,8629
738,557,1553,8720
792,381,6274,8296
21,964,3740,7260
759,759,9153,9430
158,419,1627,6632
890,596,1074,8342
740,47,3204,1793
929,230,1028,6956
342,578,647,8822
399,476,5303,8107
453,949,3162,206
698,88,902,2822
142,730,4067,9025
849,931,9695,1500
869,51,5076,6707
396,533,2897,4321
535,421,9537,8995
140,610,5562,6833
960,445,8173,6249
239,960,8681,3147
291,130,5252,4611
816,599,7851,1846
81,647,8617,8134
559,373,7228,6418
864,550,5681,3719
869,529,5595,6094
170,104,7390,2065
773,386,3991,4380
976,657,9599,4745
579,335,6462,8185
525,735,6368,6400
541,116,8614,9434
109,0,9406,2404
211,628,3942,255
775,895,1800,6477
437,537,2377,7535
321,435,7323,6140
996,495,2103,6158
899,11,1271,178
713,293,5020,7612
83,507,434,7939
955,852,3598,5522
375,680,3771,4183
52,564,8726,6237
866,780,8572,4940
495,759,2150,27
255,127,4124,8245
585,75,5602,8512
219,268,5167,3630
654,145,5486,6903
99,914,4049,6773
128,402,546,5921
917,498,4422,331
218,965,9943,1717
476,559,4824,316
782,198,3115,6244
457,582,218,3551
979,923,125,6098
21,502,9520,2917
689,603,9415,7792
559,402,4180,9554
628,975,5160,8339
328,208,2770,7463
887,341,9766,9924
690,850,1942,7574
479,47,4457,2628
784,540,1254,4573
873,175,987,8048
338,510,7237,1209
871,18,8111,169
858,494,7955,9759
178,354,5353,4396
420,558,9509,3435
481,344,1371,1877
48,59,360,4052
826,687,8104,3035
905,766,8549,3248
766,915,7784,3873
29,228,8088,8714
84,146,7729,3552
788,297,2783,5605
501,332,63,2706
545,750,2228,2532
328,331,3849,821
609,432,6332,3508
433,398,3938,194
587,699,1515,465
686,835,8771,3025
852,334,6313,8145
248,208,7786,2537
851,410,2158,99
133,586,2125,8307
689,694,6396,5714
364,598,2283,6275
739,270,6236,9463
574,179,7809,2690
779,414,3105,1434
424,756,3552,1902
414,345,3475,3023
769,518,1838,7057
655,780,8413,6813
511,437,8053,6062
384,12,895,2593
387,403,5609,6518
814,737,5913,4939
448,777,3411,4393
563,753,3008,7139
302,379,9176,7224
98,691,9824,2926
972,420,3670,6862
305,179,2890,6004
556,637,6285,1826
41,282,1408,6552
990,417,3872,1025
467,355,4677,785
439,701,9527,1800
326,15,7446,5186
568,314,6489,7236
999,532,3458,8552
32,15,4397,6601
411,464,5883,3397
625,462,8088,1226
811,780,7406,2640
113,544,3600,5050
507,693,7071,3649
55,68,5468,5911
555,410,5007,5637
723,51,9567,3203
351,64,6297,9992
328,811,9725,7235
545,925,4690,7293
269,918,5686,9608
195,846,3496,7850
412,739,3472,8527
636,466,7226,7855
78,733,9357,5938
766,271,4561,1961
656,438,7614,6947
82,529,2358,843
741,729,8250,9832
136,272,7257,4140
538,458,6213,1124
688,819,8376,6562
718,172,7605,4711
932,567,2619,764
923,860,9872,9892
305,949,577,5575
310,520,5243,7403
387,496,8262,4629
724,912,555,9284
865,794,851,1604
914,804,9410,9461
548,533,3640,6506
505,71,1912,530
387,962,2730,2790
292,933,5419,1252
178,866,2365,3941
671,991,7538,5628
428,839,266,8849
879,171,3916,5233
523,634,7328,6386
680,602,9592,9360
311,735,2326,5792
79,291,2801,2486
13,865,5552,2843
53,251,2034,7789
446,408,7453,9922
765,990,984,3238
64,809,4099,7700
371,366,6463,5284
502,255,1075,2689
569,524,1023,3332
95,439,3897,1198
532,334,6970,6954
259,629,8471,7263
584,434,1111,9572
247,689,9375,7050
126,460,5080,5261
498,307,7981,9382
45,672,2075,7870
981,94,3942,1342
267,408,271,1654
639,879,9315,4753
541,825,9419,7136
93,167,189,5981
735,86,8737,9180
315,933,4014,1077
611,2,8142,121
70,371,4943,3195
592,527,4866,2214
448,641,768,2991
909,22,5166,9025
366,97,9202,9870
811,669,7589,2069
619,750,4798,5395
613,521,464,1962
409,320,2600,4023
90,533,916,8599
508,819,9644,6442
876,366,6126,6420
527,183,7151,2369
109,416,65,2319
774,728,9917,3239
671,213,9691,7956
764,847,1904,5555
88,669,7193,1892
606,209,4571,6407
271,919,6716,3838
246,132,9078,7509
360,52,6973,1489
377,740,3808,4009
205,694,7565,1821
344,22,7861,1272
829,105,1960,8888
797,602,2747,4836
759,630,43,4214
454,459,3842,1769
907,649,4705,2841
66,481,1888,7941
986,119,3898,2364
557,672,5883,5363
978,207,8911,1117
42,860,690,7447
228,317,6842,812
950,337,8301,37
812,154,4558,2460
443,774,8706,4338
233,867,7720,5483
198,154,8828,3719
496,841,3328,7231
847,393,5312,9046
31,504,626,2354
263,970,69,4042
112,312,7549,9989
972,797,5613,174
829,258,4319,9904
458,156,5961,6740
275,13,3977,671
145,76,7500,693
356,338,8059,8739
5,408,6784,5976
339,393,1634,1122
991,846,2543,3297
493,219,7353,3986
107,743,768,2596
924,432,5764,4368
771,805,2603,3023
70,454,991,8975
938,653,9920,9401
339,762,9721,9131
673,925,488,1528
99,807,8179,93
326,139,4152,9522
32,987,511,9953
142,497,5697,6660
243,653,734,5049
735,640,5678,2221
725,835,3309,2742
631,816,8562,1096
679,529,4701,8191
860,754,1859,5003
216,675,7719,2103
900,831,916,2742
973,95,6909,4729
433,27,7264,4299
866,987,6681,3662
833,229,2662,8207
728,415,4692,125
53,455,9429,5997
719,24,1335,5674
941,686,5050,4174
591,403,761,8980
906,672,2131,5498
891,541,4814,6407
944,164,9140,2352
994,207,301,9703
150,948,7740,6883
54,984,3694,4220
516,613,2701,4837
447,372,9667,8272
34,617,8805,7015
860,841,6214,9836
118,68,5644,174
196,519,5520,8867
565,634,668,8539
770,352,2128,9582
773,100,6738,1558
854,0,217,1438
877,350,8940,2925
823,6,4220,6986
513,317,8392,4819
593,622,2621,5371
861,854,5139,4703
421,508,721,6712
951,185,9143,6377
516,727,1881,357
685,461,1432,3397
138,342,5181,9280
704,634,2320,292
649,712,6950,5443
808,7,9968,9182
627,575,7177,2576
43,135,8890,6278
857,898,621,819
800,382,459,4225
218,185,9276,3620
567,638,7225,7929
753,927,8491,6712
907,371,9467,4688
257,963,9622,1924
512,560,8141,5751
960,165,5375,5614
376,897,3452,4634
892,638,7312,4356
288,904,5925,3644
469,813,1821,3207
971,320,6431,2656
102,688,988,9876
803,714,8405,1250
148,156,531,227
83,857,2917,3898
931,730,6885,2873
25,997,3619,9451
174,284,6564,5139
734,800,3060,6567
640,27,9800,6556
421,350,2524,3460
653,82,689,2514
345,623,1100,4284
301,665,8310,5504
297,369,5301,6062
134,540,8697,3169
54,394,7817,6413
55,479,2200,664
373,212,9233,5337
587,613,496,1183
830,929,4174,6739
919,359,8250,2632
338,213,5530,3065
456,303,6969,1889
354,154,1653,959
131,379,7246,8349
492,199,9898,2007
553,679,243,721
863,237,2255,7700
109,670,6999,7518
581,704,9866,1254
795,166,6743,2345
125,225,2692,4540
859,878,6073,104
295,250,8230,1661
178,279,3247,5418
924,475,6621,1091
809,497,1615,8729
885,963,19,5739
196,977,220,6960
772,732,3771,9256
100,534,7321,1571
936,996,6606,3015
572,700,7576,7006
182,410,8442,3446
923,783,7828,1429
808,428,506,241
878,538,4741,7086
8,968,9060,9554
412,900,4587,2067
717,442,6438,7831
933,967,6600,7338
829,209,9361,6887
565,546,5357,5135
691,709,739,7450
103,490,9982,300
125,470,8615,2828
545,685,3055,5377
676,729,4387,5707
944,567,2203,2400
809,894,3922,3158
269,998,1957,7994
465,663,5326,1020
800,905,1789,1549
117,462,6401,7965
865,549,584,6902
91,979,6178,877
611,476,3200,7009
484,197,1342,3080
86,943,4190,3534
233,520,9400,7791
912,498,4785,9512
123,510,9357,5336
202,689,4756,3103
31,324,6025,2836
356,687,7455,6313
462,934,1062,2117
963,466,8717,9326
550,772,4502,2717
93,595,9574,8126
521,138,4981,6414
726,241,6612,7441
407,315,4968,8381
99,666,6066,3379
243,732,5400,1569
57,134,5684,3925
964,187,6838,1487
356,689,7353,8759
490,578,1987,3823
319,68,4067,3504
18,438,5068,2622
356,76,4104,5519
116,399,8877,6735
135,373,7806,913
838,11,6654,5229
295,486,3734,8239
524,794,6804,8935
100,757,1241,5201
379,748,3500,5397
154,763,9853,6695
593,416,5730,541
599,206,5530,4862
104,340,3261,9398
641,619,7264,8375
783,720,3843,7721
525,310,4825,8180
127,307,1981,6609
400,292,647,4734
571,624,3923,4689
965,375,1982,9448
738,526,5255,4096
528,339,2019,7151
556,82,9014,4814
549,576,4674,3780
123,451,8071,8474
359,2,6980,3600
63,455,2832,6974
888,872,9212,9401
764,235,9273,6265
773,388,7102,440
955,392,5991,3807
623,640,4208,473
101,758,3675,7289
560,746,1779,1857
276,29,4696,2779
226,582,4537,5036
22,981,8419,4342
843,147,873,9738
696,604,4766,8748
63,282,3428,5243
156,728,9483,7033
794,237,5604,4342
389,738,9219,5054
148,730,3549,3338
838,318,8312,7757
362,970,8933,6294
680,336,3881,4219
463,30,9701,8186
644,977,9434,6415
398,914,4789,1894
404,625,7445,5459
825,613,4352,9944
131,604,7471,3801
196,206,7059,2655
646,957,5649,3518
34,902,9904,5681
419,228,5008,5076
376,932,7317,9672
398,582,8785,9745
219,341,1033,645
897,459,211,9741
887,135,6057,1698
696,952,9597,7937
516,977,5508,3570
582,283,5017,3426
341,849,8122,4785
752,350,8125,4574
862,16,6479,390
415,214,9113,1281
455,394,4062,506
296,398,7348,1722
937,413,7942,957
330,243,7945,5858
704,94,3238,9926
679,632,1493,6437
338,5,1577,762
747,779,1597,5596
805,86,2428,5949
297,188,312,6262
759,614,6686,6621
676,615,4075,9951
311,419,3,2889
582,802,7061,7777
742,66,9077,1342
54,617,5218,5514
984,247,191,7215
693,859,2380,9828
533,206,1235,6618
794,204,7762,7753
104,318,7931,8741
174,82,2403,2005
293,423,6021,6871
879,81,7420,2183
550,798,6734,8950
910,548,8453,323
374,724,2369,7364
449,486,2467,8302
444,132,4427,1823
59,114,1259,3621
391,376,2054,1138
811,976,533,1720
810,210,2119,723
389,131,1523,6631
211,373,3457,2412
666,153,2589,766
684,919,4419,9485
534,422,7092,4017
239,951,6744,4270
487,949,1940,7186
720,805,3736,1958
121,365,72,8128
252,693,2887,9186
140,146,5357,6397
451,733,9179,1851
851,793,1345,6910
873,126,9978,3871
831,307,9223,3223
152,714,2006,9414
892,117,9422,7981
725,572,8602,9668
307,230,1819,4877
559,450,6794,9132
316,499,7213,6361
528,661,3092,817
295,144,5289,3916
842,906,2591,7487
344,622,7583,2070
580,678,2502,8828
596,700,8853,4806
281,986,9421,6842
207,48,9548,3675
951,106,3092,7861
551,92,7061,2520
980,635,1673,2525
95,828,9280,5017
451,139,6002,6699
997,908,7308,2635
761,313,6659,5772
372,10,499,6837
647,447,325,5159
72,926,6033,259
812,394,887,2996
784,504,9187,8947
680,377,3673,7808
332,360,7935,4101
392,682,928,6454
709,547,4403,8257
858,641,5426,2778
105,854,7990,1169
100,572,9846,1666
358,931,624,8851
746,845,4344,4999
791,996,2371,360
328,560,4699,8021
888,922,8250,5714
617,395,5116,6043
394,185,6237,7105
34,220,9469,7752
156,517,8878,7522
903,299,7627,3797
272,174,4610,3760
966,790,532,8368
395,370,4497,4040
751,969,3852,6170
206,865,3404,8128
756,508,2768,9504
604,875,2655,6983
620,203,2140,3999
305,607,7724,8722
625,281,573,1261
535,646,1565,5256
804,415,9997,5282
461,32,436,2886
251,81,3589,4942
266,482,1398,7043
866,147,9746,5147
208,606,7691,8447
954,964,3266,7970
566,991,6408,5871
538,947,3497,1778
834,494,4956,4760
502,169,1974,4360
955,722,9058,1980
513,896,9245,1587
579,702,5410,8592
913,6,7742,6603
147,379,2534,3637
980,825,7573,7300
830,853,8219,7164
973,433,3217,9406
839,33,2335,1147
641,562,4676,5550
985,631,6395,7385
82,137,7329,2450
41,366,2157,7138
155,105,2691,3393
668,793,6541,6357
452,31,3342,9065
618,635,1555,5664
283,681,275,8565
187,986,2736,1194
616,957,9539,6487
623,523,3089,3527
473,167,7578,3481
506,854,7968,5615
132,77,2172,7458
270,545,152,8016
621,208,1604,2057
72,837,6801,2417
927,410,7724,125
435,7,1826,2832
857,736,8438,4478
292,226,5509,6470
654,174,1370,8641
936,80,5322,4618
771,793,5128,1009
756,56,5811,3778
436,134,1691,941
995,237,6674,3603
851,471,3390,3980
666,216,2398,4368
660,738,9862,8693
59,25,36,1250
597,186,1627,7009
703,881,2339,2319
326,629,6160,5910
942,708,1371,6538
181,115,676,3195
798,814,5072,2957
784,613,252,6338
766,891,2864,7911
433,162,1616,9388
518,413,2231,3274
637,177,6433,9248
82,984,760,3048
27,279,3286,1906
265,797,6301,2939
282,211,7066,8732
396,53,6834,8709
961,66,392,8615
981,543,8622,9049
762,762,996,4177
979,519,7148,6458
699,498,9283,1752
382,945,1100,7447
810,430,8293,1666
580,726,9084,1863
318,45,2260,4461
837,591,9980,5212
610,34,2180,2118
192,188,5316,5626
226,88,1780,9541
450,334,6433,7358
181,946,9471,9262
931,958,4008,1753
326,135,7373,7139
604,545,3286,9612
654,792,4517,6360
202,112,2628,4265
401,171,538,1388
643,338,1780,8811
471,554,6605,9448
778,893,2348,3718
645,945,5407,6914
889,524,7169,5521
178,173,1960,1010
697,636,3091,425
955,331,7097,6918
17,206,3562,7008
462,342,5081,8408
834,948,4901,6313
912,958,2304,8801
608,103,2485,185
545,641,7928,8916
925,39,8175,9015
402,22,648,9959
392,251,7890,1184
935,954,3815,8375
299,836,6279,3608
350,289,9743,3766
186,201,9494,9811
346,154,2632,4326
622,566,7903,7635
408,105,1268,2435
758,259,1773,734
70,963,7020,157
820,199,3627,9533
943,837,1166,5304
326,216,2548,3492
211,410,1550,3254
308,558,2140,7764
107,881,5502,1075
176,116,6008,5122
426,885,6422,8190
739,423,5846,7841
530,211,3520,6751
833,154,7928,5135
417,262,7125,6373
247,506,8812,4999
208,150,5407,2964
215,211,2523,9080
712,191,4767,8022
437,880,8362,5125
768,754,5644,1133
617,97,2419,4238
987,540,9608,6026
310,700,6077,5786
782,171,7677,6572
382,370,938,8357
980,708,4930,6093
270,154,6352,8312
120,139,6943,2997
406,912,7611,6311
244,804,8064,3155
65,801,3177,420
941,255,5351,9921
227,989,5100,2835
881,675,3796,4363
136,645,2884,2085
193,863,9923,7069
705,415,1272,7470
657,328,6407,2385
656,377,1752,9969
488,917,7670,2377
583,265,7430,2857
353,540,1691,1455
929,138,9449,9180
964,859,8623,1890
703,961,5173,8841
555,823,3905,2428
156,596,6046,6209
957,511,6080,2317
475,248,6156,8238
15,862,6814,8048
77,825,6684,7347
51,744,2104,2115
513,307,5099,7282
503,572,9376,7193
743,784,436,72
60,218,4325,3457
131,797,7008,2022
381,760,8813,4085
563,583,8826,7588
808,292,1993,9218
691,900,2675,1543
542,409,5861,4496
409,197,2340,5783
154,79,9601,4749
632,384,3816,5045
50,136,9020,847
993,212,2281,9687
94,838,7463,934
687,618,5822,1395
522,959,8728,6574
903,206,9594,538
523,663,8996,8262
354,132,6682,8447
44,946,9043,901
801,165,8097,8861
204,502,555,1883
730,924,8067,8331
839,429,5341,2702
430,179,5043,9638
255,120,7400,4159
247,173,6029,9486
532,330,6818,9059
40,67,2094,1416
458,698,3478,4963
789,137,2930,4873
276,865,8445,5121
923,899,3520,2582
194,307,58,358
70,329,3702,1500
269,992,9913,8119
334,237,2607,1938
584,529,5110,814
307,75,8456,8787
426,946,1707,5066
198,150,2293,8418
75,619,2484,3835
786,664,2735,4912
794,315,3455,6086
