db1.tbl5_dim1.col1,db1.tbl5_dim1.col2,db1.tbl5_dim1.col3
261,7408,1379
3,4489,511
13,5306,1961
129,1105,968
35,5816,100
262,9942,17
862,201,128
1,8895,1338
569,883,1184
12,6161,934
12,4334,684
1,6893,19
290,6490,571
165,9461,1387
453,9520,604
2,7622,88
3,2465,1999
5,5926,1756
30,2103,1529
7,9354,673
5,5492,659
2,9823,1174
2,3197,624
19,8216,1895
16,92,495
200,8688,969
268,3436,1408
106,2611,1364
283,7038,636
1,3731,543
17,6623,1902
5,4529,994
4,9308,883
116,311,1142
283,2094,387
1,7311,827
1,4068,1582
67,2272,245
2,6311,543
177,5095,1992
278,9413,1512
28,4084,1968
504,8855,1445
1,5848,716
3,1062,317
183,7823,1235
727,9626,640
745,5622,1846
1,6049,974
64,4208,257
1,6642,1574
106,9524,287
176,2594,946
345,1325,1115
30,4877,231
326,8251,1758
566,6467,532
30,5557,1549
28,2553,618
25,4551,1567
25,378,425
185,4653,80
1,6447,357
17,9422,1876
28,5984,165
3,753,422
32,1434,556
17,7071,1895
140,3196,1288
8,7839,554
687,4412,43
12,1537,734
63,7342,588
3,5338,1319
97,6838,490
26,1723,217
7,8798,1840
8,4137,1176
9,7219,1721
15,4440,1384
4,7133,935
4,659,621
733,9653,315
5,6706,1453
61,9550,348
7,860,912
243,2722,37
103,4996,211
7,5879,990
120,3014,784
162,732,4
2,2406,1266
43,8585,1709
237,692,386
1,2386,1674
25,7071,1968
302,2902,368
703,5188,647
76,3233,549
7,8804,1302
52,6971,1894
1,1443,1609
17,6333,173
130,2914,1283
1,1590,1102
51,8351,1026
46,1073,1400
2,7633,1925
40,2710,882
12,4320,724
20,2241,1786
6,5168,1066
242,105,529
9,962,1608
209,281,874
1,4117,1508
5,3557,813
11,2689,1940
12,1440,606
15,174,299
74,8360,425
41,3217,637
28,565,95
297,2668,736
2,9555,204
351,9064,1611
244,3660,314
2,6792,1931
60,9323,743
3,3807,830
652,7330,1340
22,5722,28
3,7133,1030
66,8097,626
112,7445,1187
52,8158,1023
3,9312,260
138,498,1665
591,1025,565
699,2227,1850
91,2209,1301
303,310,1047
853,1691,991
1,6963,477
20,3100,818
5,8404,761
20,5640,91
537,1882,1104
884,3077,99
491,9739,1146
2,2389,22
229,8392,769
256,5754,1721
43,3260,1405
118,4398,1048
493,4236,1196
958,372,1311
1,3421,1304
4,5546,869
613,9205,1409
7,2150,1928
1,9609,1196
6,1668,1615
27,7381,1951
10,9271,216
205,1337,448
54,2471,888
15,4764,1621
980,8697,1170
426,9829,1210
357,6166,317
39,7369,704
193,4269,1723
7,6593,148
7,1376,741
446,5615,1183
49,9362,976
7,9187,265
314,8033,517
15,388,701
11,8496,1180
1,8275,645
91,5680,248
30,8012,1651
6,7867,392
2,8676,568
2,3369,1166
3,9622,1427
365,367,1669
21,2097,192
102,6774,24
18,5815,216
19,5724,266
264,3720,677
180,479,246
3,8063,1032
61,7996,1017
91,6490,596
12,1923,1595
1,1927,336
9,6991,325
8,8404,1264
99,5009,918
240,3594,1015
11,8304,1748
71,3866,1399
69,278,1370
72,6543,449
36,1594,1274
62,6908,675
372,1852,1030
557,6476,1543
1,8359,1393
1,4995,611
27,7861,1806
12,9624,1761
16,9655,1435
17,8706,1120
457,8599,392
66,2617,1394
15,9175,1207
17,8904,1530
312,5260,162
3,1537,1258
1,1891,1251
20,958,745
744,2460,1064
249,752,104
12,5894,1116
2,7082,1719
40,3622,150
407,6988,812
121,7324,421
32,12,1963
138,4268,833
768,3599,1500
35,3446,225
36,4407,1826
20,1119,1410
39,2005,515
65,8530,186
3,9990,274
39,64,538
1,8913,17
629,5667,1522
1,6610,1013
731,9529,1767
793,7128,256
29,2418,1967
7,80,607
2,4061,1836
2,1053,178
3,3068,1426
20,1692,844
146,7619,696
11,5738,320
194,5080,1257
38,2322,1253
1,2992,331
1,7569,316
41,2289,1503
2,3402,1648
53,8857,147
16,1519,1319
98,2226,580
5,1994,1047
263,5161,882
10,261,1826
218,1286,1016
1,387,1387
11,8493,1200
3,1254,522
16,5821,1509
672,9328,1948
2,2794,1460
1,6320,977
1,8600,489
1,410,379
1,8369,62
94,1752,394
1,6888,1902
2,4996,913
70,8241,1349
16,6956,374
1,3869,1302
803,282,1550
50,8661,492
56,1235,1165
332,7295,618
507,3389,408
1,4392,785
1,6758,394
188,2770,1092
103,2898,457
3,3932,1226
6,5209,1601
54,9039,945
206,8432,1541
51,9965,1348
211,9312,1416
3,3059,1706
7,8374,28
1,2908,1961
893,6882,1640
239,3210,1249
119,6514,261
2,7963,291
105,9804,1479
357,493,1092
242,2913,574
159,6801,362
10,6260,464
175,9518,1532
21,846,657
12,121,1137
769,5054,552
2,4007,1361
363,8923,1191
6,1854,1730
27,4175,1190
8,9171,641
24,7514,1284
257,5656,1119
2,4917,1575
160,740,1165
16,4385,1726
615,5957,657
34,6473,1358
1,872,1664
511,7175,121
569,8034,943
2,3243,21
815,8031,1962
16,8564,481
527,1853,815
9,8736,271
1,497,1459
216,6479,249
426,9353,438
2,2364,1489
36,8652,1961
284,6878,1821
18,1432,1272
205,7351,1832
67,6391,1480
124,9526,773
545,8371,793
13,7673,1076
180,7545,1267
116,4374,1575
15,7651,812
10,7444,242
412,1317,1671
3,7296,1898
6,4403,1994
827,8565,1712
4,8918,993
385,434,693
9,9936,1122
35,5954,548
11,7230,783
3,1394,451
99,7005,93
779,4091,516
448,2742,173
896,6627,1168
99,3252,55
1,5755,243
36,22,1614
59,515,598
1,4779,1901
277,994,1578
133,9565,788
16,1589,304
5,8416,124
3,4633,1669
767,4399,1644
227,2682,1148
101,1380,1390
680,4674,877
3,5389,723
345,2566,1744
44,2301,357
606,9301,292
79,2211,1354
145,5357,819
3,9298,1959
7,6955,568
5,148,459
101,3509,1625
12,3693,1655
351,5680,538
3,3227,1159
217,6104,1684
247,1294,1842
62,8182,1850
2,416,1437
6,6979,1259
11,3082,412
18,7578,649
139,7391,1640
7,2890,1966
1,9793,269
367,9393,20
14,6688,1183
5,4673,575
258,3098,1595
404,3269,990
134,9626,222
8,4838,1070
3,1777,1556
117,6540,1254
1,7652,104
10,7832,1322
164,6327,672
45,8140,816
136,9917,1223
41,9467,862
3,508,1257
21,703,942
183,6272,1878
3,9020,1194
759,6563,840
3,3492,1306
1,824,780
190,9886,1611
585,9085,1110
4,6688,1549
2,3151,1821
3,3128,752
62,2909,1486
43,7582,1320
59,7641,227
1,4298,788
2,4319,69
3,9345,1
104,6474,669
53,7025,1297
60,5860,189
40,9657,1331
148,6134,1509
647,6272,1877
87,7309,1775
148,6142,574
53,9665,551
220,882,278
653,6107,47
52,2572,685
2,1051,380
179,369,541
73,1917,1206
609,7534,1961
4,4772,638
799,5306,1256
35,9650,0
764,3763,361
199,5420,282
367,1211,1919
6,1727,1209
3,3322,1759
60,1221,473
9,7152,731
900,5323,659
23,4037,246
1,6921,1546
23,3991,1147
31,5899,1429
1,8381,1182
4,847,1613
1,273,150
37,949,123
5,5210,1894
2,270,658
299,4663,1470
1,7433,1480
100,5311,1136
41,9499,1553
181,9051,1549
1,1781,1698
383,4894,517
6,3162,1176
1,4455,478
77,380,411
349,2215,868
8,8161,1943
29,4712,1734
12,570,1500
1,5324,507
158,8318,477
646,345,1759
13,4026,1342
2,8959,1636
25,3049,945
490,2314,549
52,30,517
3,3377,1220
35,3525,1823
6,1820,1720
1,2747,364
524,1932,831
215,9639,1293
567,6491,174
93,7746,1226
16,5342,125
23,1212,253
3,7593,766
10,3621,1175
2,9727,1222
19,3278,1476
71,2522,1203
4,1906,817
657,7560,1343
71,9283,1107
3,8220,698
2,6798,1353
2,6045,710
823,6376,1258
3,8118,587
2,3179,118
2,5498,948
7,3748,5
56,7559,1397
1,7953,1257
2,2943,1696
839,7984,899
57,8883,1493
2,6220,1618
34,4686,1608
3,1759,25
821,6603,1885
10,1387,176
2,6723,1984
55,1662,816
2,4917,999
27,5033,1457
331,7313,998
7,6513,1261
20,7111,838
1,5247,292
71,4993,904
1,8544,1775
6,6265,264
305,374,1504
2,6485,776
302,6175,1020
63,7721,1454
2,2017,402
2,204,300
80,5492,213
132,6705,373
76,2650,343
118,9096,1433
8,9248,1314
1,2739,436
29,8538,1064
48,8939,784
97,3859,449
3,6918,1009
2,2170,1555
281,9852,272
305,7725,1510
912,5062,1250
7,4112,271
1,8630,1147
20,6493,1606
20,2208,1226
1,5201,812
42,2429,1000
4,4957,891
1,4483,540
52,1459,132
5,9796,857
38,1068,788
1,2841,915
9,3579,1109
365,662,1848
73,9386,70
371,75,1349
143,9388,213
123,9198,88
378,1461,1250
1,2843,1775
13,3723,925
744,5787,169
2,647,619
75,7003,681
208,4591,36
609,5579,1010
383,8921,1928
89,3239,774
115,3379,169
7,6421,185
3,3162,823
734,5561,1937
833,4787,1184
13,3701,1560
12,3857,1619
17,6047,1926
18,2446,157
307,1922,1444
14,4058,576
415,2966,76
102,2332,581
772,6022,1039
88,5779,916
12,7189,1329
541,2986,1133
3,4575,1690
770,8539,165
1,8364,1708
68,6962,949
1,979,1975
3,544,420
18,8394,267
2,6861,1326
920,3957,329
183,3841,4
328,5514,1394
855,1605,102
88,4978,649
4,3778,65
162,6390,46
45,7593,1904
4,7472,1138
9,2164,206
53,1141,1409
11,9041,1444
3,5552,1543
14,6269,400
3,8225,653
393,4569,1297
101,1989,1395
9,6748,1371
665,8955,1754
10,1459,1126
41,1728,669
26,6994,654
1,8215,870
13,1106,1294
1,6347,834
2,7275,1416
204,3146,46
5,6026,1025
1,5476,1500
122,2249,1445
228,9578,203
43,7757,947
532,3543,1990
324,4481,1841
35,5008,1912
140,9235,1469
7,9036,1084
66,1159,1306
842,1358,785
224,6689,188
9,3206,682
603,6366,1090
270,3204,1142
1,6093,1209
149,3841,1010
838,5375,1694
6,8934,1642
4,2397,1371
68,6414,1803
1,3231,1303
88,1597,1615
3,3343,1121
16,4714,418
446,3849,79
219,7645,412
1,7128,333
168,399,1025
12,2389,762
960,2665,836
5,5720,454
19,4103,18
7,4665,978
45,727,251
4,2368,1585
520,537,648
57,5576,220
652,5538,559
92,4579,1760
2,9302,1741
1,8994,214
12,6044,1039
953,9985,1811
398,6907,24
318,9580,1388
40,5157,1018
1,8478,70
1,507,24
299,626,1397
2,8089,1237
1,2803,770
114,1212,676
1,8322,219
144,6044,1517
2,6871,1410
6,3942,1570
2,536,111
189,7417,1363
21,8419,110
2,9928,452
1,8850,959
906,2372,1576
118,7002,50
91,8248,1064
24,5693,362
15,7124,1307
217,8466,1719
273,1121,1009
1,6802,1835
349,5218,888
168,6911,513
21,1578,440
20,9249,1269
291,7111,74
213,5774,2
2,6945,1261
34,3202,180
795,4392,82
138,8302,257
817,7346,1835
187,7562,1315
29,9879,265
52,549,869
114,9800,18
131,3361,1714
151,9075,1850
594,4376,642
6,8938,1734
279,6686,89
40,1601,620
424,3454,1579
63,4109,1324
616,444,864
13,8330,338
1,5313,1974
70,2439,1079
185,4028,752
99,9023,1153
128,9696,421
1,4551,287
769,488,1869
4,368,70
12,1193,722
13,4269,209
498,1243,1100
147,7586,1916
58,8780,1946
1,7482,260
6,1615,199
22,5332,590
1,238,1244
40,3674,55
3,2961,1987
269,1341,1895
278,6776,235
50,6155,1266
8,4612,1097
1,9049,1997
62,3812,1277
199,6325,917
208,6575,296
21,735,1067
2,4509,418
1,6687,857
1,1796,1458
4,1961,817
2,662,919
2,456,1604
105,25,789
2,1018,351
100,9604,1046
8,8501,1699
185,2254,692
2,5,1260
1,3378,427
1,8507,241
777,917,1881
31,2895,1333
53,1687,218
782,1617,313
187,4088,1752
1,2354,1428
13,8502,1660
263,7259,34
81,6953,1713
3,4618,1584
234,3190,605
37,7761,1461
205,7630,1885
61,9612,136
18,8422,819
131,6301,1328
366,334,466
18,9521,974
1,7848,1091
48,7121,1733
1,8491,1799
6,7687,1015
34,6864,1269
7,2061,1102
5,383,1684
1,7019,350
4,1656,1951
10,8460,322
5,8064,517
62,675,178
82,4060,1395
193,5954,1590
2,1051,1018
58,3331,530
14,6037,424
6,9697,1071
21,6957,1969
21,2849,1631
67,1041,1012
37,6562,1889
63,9277,151
865,3056,702
242,9996,1057
5,2194,1472
30,2750,875
3,1030,1081
27,9055,870
116,9466,705
1,7513,211
2,4528,1143
1,6488,1026
10,4714,1252
175,1441,342
16,8679,1239
40,8088,1726
46,4151,1850
1,1772,1619
2,7028,1865
530,6612,1720
17,9180,927
13,5238,1770
155,5926,1040
1,3461,1075
304,7781,1326
85,5538,543
2,4960,350
1,9361,200
1,4277,1011
5,9252,1880
6,5517,336
2,8724,1366
5,5350,1795
38,1235,1274
1,8651,505
3,6496,1268
38,5801,1509
110,874,360
598,3119,216
26,1560,1689
1,8302,1219
47,3024,442
966,4583,1507
417,5849,874
193,5677,638
137,9930,605
161,5403,1242
1,7196,1381
28,5040,274
98,3587,1695
1,2860,216
529,6649,1097
1,1278,922
1,4997,147
1,4337,502
13,9694,1911
33,3545,1490
1,8618,1536
202,7737,233
2,2133,474
37,5028,1003
22,7080,1296
494,2069,874
450,3765,111
3,1710,1917
32,1161,1524
897,23,994
7,3234,1531
1,4318,1745
121,6887,1058
24,7578,364
637,1952,776
42,7726,1372
26,7270,189
529,7049,348
10,7655,1528
49,5427,1927
315,3129,110
49,2726,1324
5,8004,522
37,5260,196
14,5258,182
892,4417,1797
1,2316,659
176,8628,1607
1,6910,1857
52,1075,823
14,982,67
512,5725,47
32,8924,944
275,1362,1071
86,745,354
16,6168,436
7,3354,625
1,4971,938
1,4816,1945
1,6402,1200
3,9646,132
37,5613,762
833,9958,111
110,4364,1392
1,4813,340
70,447,813
21,2723,1205
66,8432,1346
60,117,1698
2,2314,504
548,7474,218
36,7587,164
107,2029,1207
10,4752,1471
1,2040,1405
99,3645,1720
651,587,33
44,7185,21
2,6156,1933
60,7027,1938
14,2633,1574
11,2131,1664
524,7827,0
140,4479,938
25,7755,853
13,984,616
3,513,1066
7,9781,759
32,4587,1274
1,7627,187
8,3080,577
23,2193,761
53,1734,932
146,5883,1501
1,7303,44
5,6975,128
4,1445,1656
28,2116,1250
18,9470,274
1,2823,1350
168,1380,227
96,1763,1917
262,4878,29
1,8442,768
25,9077,1546
52,3913,167
1,5387,1861
738,4480,431
215,9481,979
3,537,768
62,1640,1474
2,2072,1953
387,3656,1626
1,3199,1126
488,5294,1930
276,2066,1141
20,5571,1326
74,5743,1540
4,474,1985
10,5627,1812
3,4006,632
29,2044,1113
6,7919,1135
8,6894,1417
15,5931,1295
386,4320,1742
34,6344,1923
235,133,162
322,2896,30
4,231,90
189,705,1571
72,9093,791
25,9539,935
1,9185,1904
41,9651,1556
2,9970,976
253,8875,1872
613,9723,1915
20,2851,1366
15,825,1989
22,1845,1509
1,2846,1725
3,4475,1743
641,764,911
7,2769,1258
47,6349,956
72,4454,871
399,2297,1514
3,5001,858
440,1173,1914
11,6757,761
557,2991,1171
12,6655,1977
1,8970,1574
1,7966,217
783,8926,1439
1,5979,1348
32,5891,1812
29,3683,1431
11,6708,210
13,9596,1250
20,7378,371
1,8024,87
209,8657,3
9,8954,1769
3,4753,1229
6,7476,1804
55,1713,1502
186,6995,1565
2,2119,1514
47,1916,1068
13,1314,762
356,9886,1613
685,2666,202
90,9727,1021
46,541,1110
193,3248,1632
23,392,409
1,338,962
107,6202,553
43,7776,1928
2,8465,1538
3,7505,1302
3,3599,1612
135,6868,1590
27,9575,840
1,7051,1779
297,9555,981
70,4960,808
136,2886,102
626,3561,1588
4,6521,1060
46,5808,1697
166,7437,1857
26,6298,425
21,4378,1537
587,9614,675
3,3206,368
74,1251,81
801,7464,2
3,1164,1679
18,8191,265
832,2040,724
1,7377,375
63,7250,766
12,1784,1953
180,9571,1280
6,4745,1125
9,9147,844
27,3494,369
7,6123,69
4,5978,1613
8,6737,831
502,4952,1196
7,7648,35
471,3899,1439
3,6035,487
86,6811,1790
148,5401,1344
1,3797,1601
33,1364,1795
1,7575,1627
585,7743,652
28,392,432
1,4197,1894
93,7134,1053
425,1855,874
140,3487,897
2,6249,1869
32,8402,1351
136,8794,1429
225,5464,1721
1,2949,1898
5,4597,1777
422,6859,194
4,6708,1587
19,9921,908
103,3212,586
898,5015,255
14,308,403
24,2924,579
37,8665,406
3,1471,241
9,76,1016
15,643,129
1,5850,993
1,2639,1852
3,7007,964
26,2539,1357
718,8444,1197
815,9941,444
71,8567,1963
274,3413,1285
476,5239,5
300,9200,944
33,153,914
109,9740,1320
1,7890,56
72,3146,1189
14,8902,1996
70,7865,932
102,1181,1413
1,1245,367
391,174,1155
2,7689,571
1,4860,1879
14,6688,617
1,2544,1873
720,3213,1542
5,5998,215
3,181,303
4,6987,285
5,2428,125
1,6132,1725
32,5492,1399
1,3485,1713
150,6835,1503
176,6604,1274
11,5297,1155
804,9055,654
195,8662,905
1,7147,1938
860,1804,312
314,1827,1286
109,6513,912
75,6630,1734
52,4653,1445
930,970,1454
20,9460,151
2,4223,125
5,5232,1708
9,1466,252
6,6415,1731
1,663,1240
1,5527,1663
1,5973,15
91,3994,1926
81,1261,319
1,4258,533
6,1405,1717
5,9001,1039
17,3533,276
8,9497,1662
261,7094,206
416,8161,562
3,5261,591
1,1078,135
300,9755,968
24,8676,1991
6,171,1845
1,6520,102
52,5357,710
3,1691,698
1,9715,426
16,3091,88
49,4161,1370
2,2284,1748
74,666,599
2,289,1010
1,422,1934
2,1029,562
45,5257,1341
65,3469,1951
364,8942,1884
1,2984,1465
704,5184,1946
28,4800,1779
4,2589,1070
9,1801,1919
1,9941,1788
1,8952,93
415,218,1757
1,1998,253
1,9767,5
49,1757,732
10,5687,19
12,1784,1227
1,8500,406
1,3096,209
366,3443,376
10,5698,452
1,9922,85
2,9335,1913
1,62,1379
20,9213,1271
230,9616,1624
11,8744,360
58,7386,174
88,3008,1397
116,8759,1193
52,4943,413
36,1008,1198
20,7257,1151
19,7421,1349
7,5503,1222
25,1637,1870
20,8753,1489
6,362,1336
5,2820,1639
16,7555,986
229,3312,631
4,1849,1771
314,5435,442
127,2672,1911
4,9451,1786
1,8054,1562
1,6418,155
416,9365,812
236,2616,1851
10,8884,1709
1,1918,1064
243,1928,1718
4,3142,1429
704,8178,698
28,1832,944
119,7508,892
18,7409,156
1,7069,408
1,2757,1754
836,4259,870
12,3155,1568
2,5735,601
123,3233,878
414,5987,545
4,5994,59
40,4336,1892
4,1966,1941
265,9928,1222
1,671,722
9,3275,1587
10,1221,1238
66,9258,1431
2,6358,780
20,8445,401
35,4113,1060
442,3732,1307
29,4075,283
1,8308,1994
1,6012,271
567,1228,570
859,693,1190
2,812,471
156,2036,620
4,151,770
286,2294,697
1,9274,64
15,8699,141
49,3768,816
332,9308,1609
342,7781,1157
2,9822,101
782,1965,1676
67,6045,1146
78,7566,1190
436,4142,150
6,8347,775
13,4607,1365
894,5546,1249
1,30,402
370,721,1058
308,9539,498
4,3288,316
263,3804,1612
7,6179,657
62,2053,52
16,5126,1108
1,1271,1903
457,1117,863
33,1815,182
21,6125,1250
406,4411,92
7,3262,1621
40,8037,1021
414,4640,260
7,6913,322
213,2481,87
26,5356,1572
2,9756,208
1,3271,1873
129,3493,1846
4,9757,1704
252,6256,669
2,5228,1658
39,4531,969
1,7636,139
138,1897,1352
173,2237,1596
536,5685,365
38,7867,1003
1,2055,387
276,3539,1015
6,1100,73
472,2628,1131
848,7687,1548
1,8923,1780
1,6284,1115
465,4563,1139
469,1844,152
45,1233,1971
433,82,55
595,6915,614
36,4192,1963
96,9288,1797
55,5172,975
2,4560,1302
15,5381,1227
92,9019,465
54,1817,1721
3,2062,150
509,717,802
199,564,1133
1,2329,653
7,9426,1548
968,1317,1103
10,2758,1574
81,9625,1144
1,1428,295
6,5689,646
414,7349,134
26,2385,1764
270,8416,1016
1,8509,2
82,8001,1474
5,293,1891
353,1535,1973
658,9744,1551
97,1392,1939
2,1021,733
19,6148,532
18,620,1156
281,9489,1476
18,5098,724
7,3754,1255
55,2658,313
71,9873,222
241,8869,61
475,5378,375
439,7800,928
61,5514,389
28,783,347
226,8506,1567
6,6574,957
163,1717,1919
25,8446,1745
1,2872,91
157,1699,571
72,8356,769
1,8165,954
16,3402,331
21,6649,1449
75,8541,694
90,930,735
2,4632,248
1,2229,482
214,6683,1427
872,5577,247
642,7242,699
24,9871,1136
29,1027,562
595,6940,749
33,7591,1501
4,4638,244
90,9785,152
20,791,1466
200,9630,244
198,8592,553
619,2468,1382
2,9502,822
28,5477,113
201,1104,1995
15,4864,1273
61,860,1444
254,6548,1544
19,1486,1571
12,5229,337
2,5925,814
269,8659,5
217,3281,1628
146,4286,1484
11,7105,366
44,5725,363
1,9688,504
6,2131,1322
15,6858,812
1,9508,1077
1,1184,1343
280,5427,1781
806,5492,1705
6,6587,1237
1,767,745
617,6935,1503
527,5776,717
75,3650,1620
7,7016,1462
1,3910,1323
636,6858,1231
551,5090,1657
146,7870,1503
610,6558,1969
2,420,761
1,262,648
2,903,598
3,7227,1599
274,915,1385
557,50,1739
3,7922,1997
18,2010,587
17,632,1039
2,1574,1509
334,7911,321
28,7569,427
39,8915,930
4,2311,1565
37,8401,780
212,889,923
5,6451,1441
1,8295,1140
44,7660,1795
66,6753,396
3,6923,956
4,4448,1241
2,2140,601
555,8063,75
3,5136,1321
1,8030,897
302,1977,1508
229,1869,87
17,2066,524
219,8007,1366
16,1916,1239
3,8369,1622
14,3723,580
21,8633,1959
1,6865,1904
1,2579,1798
392,5190,822
11,7122,1286
7,2869,335
434,8714,313
2,1281,993
3,5377,1489
276,6703,560
5,3302,655
64,2715,626
142,7386,1722
3,5002,200
4,6062,137
27,6536,1748
211,9185,801
36,9150,1365
1,9117,135
8,8245,68
7,3042,1584
237,7643,1597
5,6131,1684
478,1585,1964
7,7792,1514
2,3269,8
32,8874,250
10,8822,123
72,3147,828
532,1857,917
642,4301,29
3,5716,1038
2,2594,459
638,5473,325
246,2574,1110
4,9548,262
232,2817,1383
144,776,559
4,4498,167
494,4736,593
6,735,1975
20,2115,879
54,1174,607
2,9429,1767
55,9765,466
111,9717,1269
1,6947,1665
10,9599,677
55,5668,1276
576,1242,1332
442,3841,57
2,5296,898
54,5850,379
1,2536,1161
5,9186,797
49,8539,754
1,4590,1727
435,9703,226
278,6221,751
19,1959,955
22,9168,343
412,2051,1652
1,2586,999
2,7621,1914
6,3,1330
9,5944,505
911,2844,994
2,2287,1987
5,1268,1604
276,2475,297
199,8734,641
76,1426,1158
7,5637,29
1,731,822
885,8334,181
4,2814,1664
313,5193,341
456,964,410
15,8885,1488
328,7897,570
5,2463,368
439,3387,279
66,6880,504
2,2498,105
202,2804,1173
524,1218,1018
40,526,1361
166,7567,857
215,281,1963
204,5578,1773
17,3420,1790
143,3824,776
34,1722,1401
13,6522,1400
2,1784,1678
506,8693,1319
13,84,1420
3,5162,1597
3,8226,1934
3,9390,1451
1,3800,1892
15,3445,1506
441,6967,1585
1,4053,1995
723,4056,252
2,5253,152
122,3033,702
201,5163,368
138,4200,1778
7,3758,793
109,6305,1532
19,9029,131
2,3855,264
3,9770,219
1,7055,936
7,6081,1102
131,6847,319
794,3128,1870
1,6946,587
8,5314,1222
2,7633,1605
167,1910,569
548,8261,983
1,9870,655
486,1228,672
4,8004,722
3,3259,1045
1,4298,1568
1,423,46
1,7326,1358
16,9519,1837
78,1150,1560
2,4013,569
3,7150,1320
2,8505,21
235,7044,548
2,7055,653
1,621,1985
1,594,1345
1,4540,371
34,612,1388
1,8819,1495
3,9619,1095
286,7887,1788
788,7724,785
353,502,1887
739,9366,1062
85,1928,744
909,9541,301
23,3708,1455
215,3361,933
809,8076,1284
114,7887,1572
724,2876,264
4,1578,98
5,4298,216
11,6716,1238
18,3434,1050
464,2425,1182
432,6209,799
77,534,1307
3,7616,1238
3,3455,599
64,5144,294
24,3873,1004
4,6917,1746
